cd003370a5	ගමන්ම ප්‍රගීත්ට කියන්න තියෙන්නෙ
cd7c803fc8	අපේ සංස්කෘතික අමාත්‍යාංශයයි රාජ්‍ය නාට්‍ය අනු මණ්ඩලයයි
cd7ca19a41	ඔයා කරන දේ කරන්නකෝ කියලා
cd7cabad6f	මාවිත්තර ගින්න පැතිරේ
cd7cd1cf3b	දිනය පුරා මල් දන්සැල් ක්‍රියාත්මකව පවතී
cd7d1d2752	ඉතා සුබ අනාගතයක්
cd7d4f7ee5	එම අවිද්‍යා සහගත සංඥාව නිසා
cd7db7348a	බොහෝ දෙනෙක් දන්නෙ නැහැ.
cd7e787fb9	දින විස්සක් රෝහලේ සිටියා.
cd7eda3a56	android
cd7f3f8ad7	ධර්මය ආප්තය වශයෙන් සළකා
cd7f86594a	එක්සත් ජනතා නිදහස් සන්‍ධානයේ මන්ත්‍රී අරුන්දික ප්‍රනාන්දු මහතා
cd80284d91	තමන්ගෙ තොප්පිය රතු කියල කිව්වා.
cd813a6b46	ගස් වැල් සල්ලි දුන්නද කියලා.
cd81b54c22	ගුවන් යානා අනතුරක් නිසා
cd821ae81d	ඒ මොහොතෙදි මුළු මහත් විශ්වයම එක්වෙලා
cd8305d500	ඒකයි ඒ කාලේ
cd83500dfa	බහුතරයක් තියෙන්නේ ආකෘති.
cd835fcca2	මා දී ඇති තුන්වැනි පැහැදිලි කිරීම බලන්න.
cd839ad466	අනේ මන්ද
cd83e27dae	ගෑණු ඇනකොන්ඩා පිිරිමි ඇනකොන්ඩා ආහාරයට
cd83f54896	වරෙන්කො බලන්න
cd84cff732	පියගැට පෙළින් උඩුමහලට පිවිසිය හැක්කේ
cd856a7059	චන්ද්‍රතිලක මහතා
cd85999a8f	රුවන්වැලි සෑය හදපු තාක්‍ෂණය
cd8671b94b	පාවීමට පටන් ගත්තා.
cd867af62c	බොහොම අගේ ඇති ලියුමක්.
cd870a4c36	මෙම ක‍ාර්යය තවත් ඉදිරියට
cd873c0548	ඒක අමුතුම චිත්‍රපටියක් බවට පත්වෙනවා
cd8793857a	සුබ පැතුම් වෙලාව තියෙනවනම්
cd879a0987	එතෙන්දි පුංචි වෝරන් වර්තින්ටන් එයා විපරිතයෙක් කියලා
cd885418ea	තේරුම් ගන්න අමාරු එකක්
cd89035737	එය නැතිකර ගත්තේ
cd89ca871f	සමරු ගී රචනයෙහිලා දක්වන්නේ
cd89db0cb5	අචිනි ඉතා හොඳ දැනුවත් කිරීමක්
cd8a0a56bc	එම ලිපියේ සඳහන්ව තිබුණේ
cd8ac6420c	රඟමින් ගත කළ මොහොත
cd8bddad04	ඔබට මේ බදු නිර්මාණ අපවෙත ගෙන එනවාට
cd8c0dc369	දම්සක් පැවැතුම් සූත්‍රය දේශනා කරමින්
cd8c2237d2	ආසාවෙන් කියවීමට අපහසුවක් හෝ
cd8d59cf73	මම ඒවා කතා කරන්න කැමති නැ.
cd8e1ea1ca	අපේ රජතුමාගේ උපදේශකයෙක්
cd8e34e855	විවිධ ශබ්ද උදව්වෙන්
cd8e8d40a8	උස්සගෙන ගෙදර යන්න
cd8ea73c69	එබැවින් වැරැදි නොකරන
cd8f062a08	පුලුවන් ප්‍රදේශවල
cd8f60f926	මේකට වුවමනා කරන ආකාරයට
cd8f8d1490	වසරෙන් පස්සේ
cd8f920aab	අන්තිමට ඔහු ඒ දෙයින් ලොකු ගානක් හොයාගන්නවා.
cd8fdcb237	ඊට පස්සේ දැන් ඔන්න බුදුරජාණන් වහන්සේගේ ශ්‍රාවකයන්
cd8fee00ec	අන් අයට විවිධ බාධක පමුණුවමින්
cd8ff15a46	ඔතෙන්ට එන්නේ නෑ.
cd918c9d04	එක එක කාමර එක එක කාර්යයන්ට යොදා ගන්නෙත් ඒක නිසා
cd91c655e4	අල්ල ගන්න එපා හොදේ.
cd91ca9ade	ඔප්පු කරලා පෙන්වනවා.
cd91f1aebb	උත්සව ස්වරූපයෙන් පමණක්
cd924ee216	එයා ගැන බය නැහැ
cd9254a93c	නමුත් මාර්ග සංවර්ධන අධිකාරියට කිසිම මුදලක් ගෙව්වේ නැහැ.
cd925d7148	මත්ද්‍රව්‍ය හා දුම්වැටි තමයි.
cd927c864e	ඩොලර් දශලක්ෂ ගණනාවක්
cd92822e8e	ලක්විය හැකි දවසකි.
cd93207a5e	ඔය කමෙන්ටු දෙකම මා හොයා ගත්තේ
cd932ba317	එයා වගේම මමත් ගෙවල්වල ළමයි බලලා
cd93318b3d	සාමාන්‍ය මී මැස්සා මෙන්
cd9360c5be	මේ විධියට වේල් තුනෙන් ම බත් පිඬු පහළොවක් අඩුවේ.
cd93b20a80	ඊයේ රාත්‍රියේ සිට වහාම ක්‍රියාත්මක වන පරිදි
cd9446ab47	අපි ඒ වැරදි කිය කිය
cd945a7178	ඇතුළු වර්ග ක්ය.
cd9462e13c	miss world
cd94afec29	නලින් පරෝපා සහ අපේ කාලෝ ප්රෝපා
cd94de9c8c	එය කොටස් තුනක් ලෙස
cd94f1a1f3	එසේ බැඳෙන ගැහැණිය හා මිනිසා අතර
cd9525cb51	මේක මගේ පළවෙනි වැඩේනේ
cd958594e5	ඒත් අන්තිමේ
cd961704c4	නොදනිති නෙ
cd967f942f	එසේ උසස් මට්ටමට වර්ධනය වූ
cd9680548f	දැන් ඒව හදල කියල.
cd96c9aefd	එහෙත් අවුරුද්ද යනු මෙයද
cd96e86d75	බුදුන් කියලා නැහැ කොහෙවත්
cd9761bb18	සතුන්ට තදින් බලපායි.
cd982fb152	අර කහ පාට බාම් එක
cd9a688f46	ඒක ඔයාගේ බ්ලොග් එක
cd9aed40ec	එතකොට මෙයාට බැලුම් නෝනා කෙනෙක් නැද්ද?
cd9af7707a	මට එදා මෙන් අද ද මතකය
cd9bb447fa	වර්තමාන මනුස්සයා මේ ජීවිතයේදී
cd9c0c614c	කතාව අහල ඇතිනේ
cd9c615aa7	ඒක හින්ද තමයි
cd9cb457d2	මහත්තයෝ ඔබතුමාගේ යෝජනාවට
cd9cbf73b0	එයින් නිදහස් වන අවස්ථා ලෙස
cd9ddf3850	ලෝකයේ විශ්මිත නිර්මාණ සතුන් අනුරූ සහ
cd9e037bf4	චක්‍ර ටෙලි නාට්‍යයේ
cd9e451070	ඇය විසින් කතරගම දෙවියන්ට පවසා
cd9f073b19	එකට කෑවත් බොක්ක වෙනස් කියන්නෙ කටකහනවට නෙමෙයිනේ
cd9f3a9840	ගෙදර විශාල ජනතාවක්
cd9f6b9498	අනෙකුන්ට විරුද්ධව චෝදනා ඉදිරිපත් කර
cd9ff7b459	බෝධීන් වහන්සේගෙන් නව අංකුරයක් හට ගත්තේ ය.
cda001755a	කියල පතන්නම් මල්ලි
cda06a29cb	එයින් සිදු වන්නේ මෙම විශ්ව සාධාරණ අත්දැකීම
cda078e2c3	භික්‍ෂූන් වහන්සේ නමක් මුල්කොට ගෙනය.
cda0ba6fbb	අතුරු කතාවක් තියෙනවා
cda0c319d8	උමං පිළිබඳ විවිධ කතිකාවන් පවතී
cda0d5f3f1	වෙනම කෙනෙක් ඉන්නව.
cda13ce6de	සමාව ඉල්ලනව.
cda161a436	රෑ එළිවෙනතුරු ගුවන් විදුලියේ විකාශය වීමට සලස්වා
cda28cd868	ගොඩක් වැදගත් දේවල්
cda2f9643f	මෙසේ ඉදිරිපත් කරන්නට විය
cda306beff	දක්වනලද අදහස් ඔස්සේ
cda33e206f	අද බෙහෙත් කියල සලකන දේ
cda340b5a2	හැපි ෆේස් ආයෙත් එනවා
cda364ce18	ගාමිණී ෆොන්සේකාගේ සිට
cda395a8d6	එහෙම වෙඩි තියා ගත්තේ තුවාල වුණාම රෝහලකට යවයි කියලා හිතලා.
cda3bbef0e	තවත් ලස්සන වෙන්නෙ කොයි වගේ භික්ෂුවකගෙන් ද?
cda3c72d2e	එක් චිත්‍රපටයක රූගතකිරීම්වලට මේ දවස්වල සහභාගිවෙලා ඉන්නෙ
cda46ce0ae	new year wish
cda47647a7	ඊට අමතරව කොළඹ විශ්වවිද්‍යාලය
cda4d2a64c	අතිරික්ත වටිනාකම යනු
cda4e8119a	අද තරඟයේ දෙවන දිනයයි
cda4fd68c2	ඔබට ලබා ගන්න පුළුවන්.
cda541831b	බුද්ධ ශාසනයේ හැර ලෝකයේ අන් කිසිම
cda5b6841f	අපේ බස් රේඩියෝ එක අහන්න
cda6200d7c	උපේක්‍ෂා සහගත සිතක් ඇති කරගත හැකිය.
cda6418015	නඩු කියලා ජය ගත්තා.
cda6480ff9	තමා පරාජිත පෙම්වතෙක් නොව
cda7622485	ගම්වල මිනිස්සු වැඩි පිරිසක්
cda7a595e6	මේකේ කතා තේමාව.
cda7be4c5f	එබඳු සිත අරමුණෙන් අරමුණට පැන පැන
cda8a26eb5	මන්දැයි නොදනිමි.
cda8c660a2	මේ චිත්‍රපටයට පාදක වන්නේ
cda8ebd272	dairy products pictures
cda9414342	මොකද මම රංගනයට පුදුම තරම් ආදරේ කරන කෙනෙක්.
cda99613e6	දුක නැති කර ගැනීමයි.
cdaae0af76	නමුත් මේ සූදු ව්‍යාපාරයත් සමග
cdac2104ba	සාංසාරික බැඳීමකි.
cdac32d089	අසත්‍ය අද්භූත දේ දේශනා නොකරති.
cdaca12990	ඇය සිටි අත්තට බර දුන් කහ කුරුල්ලා
cdaca318a4	මෙය සාදා ඇත්තේ
cdad3ce5a8	නොර්වේ ප්‍රකාශයන්ට කලින් ඇයි උන් ඇමෙරිකාවට පැන්නේ?
cdada3c2c8	ඉදිරියටත් විය හැකි බව
cdadf9854e	ඍජුවම දක්වන ප්‍රතිචාරය අත්විඳින.
cdae0eedc9	උත්තරේ බින්දුව වෙනවා වගේ.
cdae7becae	සාදය සඳහා
cdae93689b	මේ තත්ත්වය උග්‍ර කරනවා.
cdaed8cb43	පින් රැස්කර ගැනීම සඳහා
cdaee5281a	මෙහිදී මා පැහැදිලි කරන්නේ
cdaf19a935	එය සතු තැනැත්තා වෙතින් උදුරාගෙන
cdaf44f684	තම ආගම වෙනස් කිරීමේ දී
cdafaa3fbf	වැඩපිළිවෙලක් අවශ්‍ය අතර
cdafd35f66	එම අකුසල මූලය
cdafef95ce	සාර්ථකව ජීවිතේ සොදුරුබව විඳිමින් ජීවිතය ගෙවනවා.
cdaff71e77	මවට සහ පියාට පැවරී ඇති
cdafff0667	බුදුරජාණන් වහන්සේ අඳුනගත්තා
cdb1684f8f	මේ ලෝකයට මුණගැහෙන්නේ කළාතුරකින්.
cdb2b4bad2	මේ සයිට් එකෙන්
cdb2b61fdb	යොදානොගැනෙන අතර
cdb36c531d	මොකද මම හැමවිටම උත්සහ කරන්නෙ
cdb3b70460	වෙන එක නැවක් එනවද කියලා
cdb3c30789	මේ දරුවාගේ ඇඟිල්ලෙන් වැගිරෙන කිරිවලින් තමයි
cdb3dc68ab	වෙනස්ම වෙනස්.
cdb404c788	සිදුවන මානසික කඩාවැටීම
cdb4892b6f	ඒකෙ සැගවුණු අදුරු රහස් කොයිවගේද?
cdb4af9fad	දැන ගැනීමට තිබුන එකම මග
cdb55f817f	ඉතා ගැඹුරින් අධ්‍යයනය කිරිමේදී
cdb5b58f92	ඉන්න ආකාරය ඔබට දැක ගන්න පුළුවන්
cdb5f126db	බුද්ධිය යට කරගෙන
cdb6792937	රටවැසියන්ගේ සිත් සුවපත් කිරීමට මුනිවරයෙකුගේ අවශ්‍යතාව තදින්ම තිබුණි.
cdb69be819	මගේ එක දෙන්නම්
cdb77bda7a	වෙල්කම් බැක්
cdb780af12	අරන් ආපු දේ ගැන කතා කරමු.
cdb805fd0e	එහා මෙහා මාරු වෙන්න පුළුවන්.
cdb8b2b533	මවුගුණයක් ලෙස ආරක්ෂා කළ යුතුය
cdb97f411b	ඒකයි බොලං මෙච්චර කුණු කතා අහගෙන
cdba3dc14f	එතුමා ඔය ප්‍රශ්නයම මගෙන් අහන කොට මම කිව්වා
cdba864d64	එක නිසාකරද්දී පරිස්සම් වෙන්න ඕන
cdbac89bb2	ආලෝක්වත් වූයේ
cdbaf66ef7	උන්ට පිටරටින් බෙහෙත් ටික නාවොත් ඔක්කොම ඉවරයි
cdbb1d0049	අප්‍රිකානු සංගීතය ගැන
cdbbd5e829	වෙනස් දීශාවකට ඈඳෙයි
cdbbe48fb6	සජීවී ලෙස ඉදිරිපත් කරන ලෙස
cdbc1ae905	ගුවන් තොටුපළේ සිදු වූ ප්‍රමාදය
cdbc5155c6	තාත්තා දූවිලි නැති පරිසරයක ඉන්න
cdbd8d990c	ගසාගෙන කන වෙලාවක
cdbd98f4f5	පිඟානකට අයින් කළා
cdbda93487	මොවුන් වෙත බුදුරජාණන් වහන්සේ වැඩියහ.
cdbe1d2392	එතරම් දරුණු නැහැ
cdbe6b5ec9	තමයි උත්සහ කරන්නේ.
cdbea2e52f	ඒ අනුසාරයෙන් අපි චිත්තරූප, මවාගෙන සිටිමු.
cdbeef15e4	ඇස කණ නාසය දිව කය මන කියන
cdbfb74670	අභිධර්මය පහදා දීමේ
cdbfde149d	කතා බැහැ අහන්න
cdbfded635	සාකච්ඡාව පැවැත්වෙමින් තිබු
cdbfe0ffef	අව්වේ ඇවිදින මිනිසා
cdc0137b40	ඔය වන් ෂොට් හිටියලු
cdc0789522	ඔබට අපේ උත්තමාචාරය
cdc07af1c8	බුදුන් වහන්සේගේ දකුණු දළදා වහන්සේ වීම
cdc086ae81	නිගා කරන්න කාටවත් බැහැ.
cdc0a04970	ඔයාලා මෙ කොටස බලලම දැන ගන්න
cdc0cdb459	හෙළාදැකීම තබා
cdc23f1a60	මේ විදිහට විනාශ කරනතුරු
cdc293228d	ඉන්දියානු රුපියල් කෝටි ක වියදමක් දරලා
cdc2eb767c	එකට ජීවත් වෙනවා කියන්න බෑ.
cdc3372e29	අපේ ජාතික ගීය
cdc351c7c6	දිගටම දෙන බවත්
cdc3a4be2c	එතැනට පිවිසෙන ගවේෂකයාට
cdc3b7e30a	බුලත් කොළයේ නැට්ට පැත්ත සුබ කටයුත්තකදී නම්
cdc473053b	ඉදිවෙන්න ඕනෑ.
cdc4c5e94c	ලැබීම කල නොහැක්කක්
cdc4d91c3a	අද්භූත බලයන් පවත්නා බව
cdc4e7da42	ඒත් ශ්‍රී ලංකාවේ ආණ්ඩුව
cdc53c824e	එකෙනුත් ජාතිවාදීන්ගෙනුත් අපට අහන්න තියෙන ප්‍රශ්ණ වැලම තමයි
cdc5b778dc	මෙම සිව් මහා දේවාලවල පෙරහරට
cdc630aeb5	එක් උවැසියක් වහා වෑංජනය අඩංගු බඳුන ඩැහැගත්තාය
cdc6cdea8b	රාත්‍රී සිදුවන වස් ඇරීමේ කටයුත්ත අවසන් කිරීමෙන් පසු
cdc702e752	මේ තැටිය රසිකයනට ලබාගන්න පුළුවන්
cdc72541bc	ඝාතනය සම්බන්ධයෙන්
cdc75119c0	බෞද්ධයන් වශයෙන් අප විමසිලිමත් විය යුතුයි.
cdc7ed0f29	ඇතමෙක් හඳුන්වති.
cdc84a3994	කුලය හා සම්භවය දක්වන නාම පුවරුද
cdc8514e26	ශ්‍රී දළදා මාලිගාවේ මහ වහල්කඩ අබියසින්
cdc861428c	සුරංගා රූපයෙන් වෙනස් නොවී ඉන්නේ කොහොමද?
cdc8acf5bb	හරි යන්නේ නෑ
cdc8afea16	windows xp service pack 3 iso
cdc942846b	යට ඇඳුම් ඇඟලුම් කර්මාන්ත හිමියන්ගෙ සංගමයෙන්.
cdc9b1df85	එතුමා මම ඉන්න පන්සලට ආවොත්
cdc9b6f23f	අස්ගිරි විහාරයේ දැකුම්කලූ මෝස්තරයන්ගෙන්
cdca0e8321	අමා නිවන් දොරේ හැපී සිටින
cdcb4cd916	අපේ බලාපොරොත්තුව
cdcc357d00	කෙසේ ඡන්දය නම් දෙන්නද?
cdcc3c7ea4	එක බොහොම පැහැදිලි දෙයක්
cdcce1d883	මට ඒ හොඳටෝම ඇති.
cdccf2170c	ඔබේ කතන්දර කියවා
cdcdd9d100	කවුරුත් දන්නෙ නැහැ
cdce8a68b6	බුද්ධාගම හා සාහිත්‍ය කලාව
cdd0fcdbf9	මේ නිසා විහාරස්ථාන කුරහන් ගලක් තිබෙනවා දැකීමෙන්
cdd17862e9	පහසුවෙන් උගත හැකි වේ.
cdd1a340f1	අපි කිසිකෙනෙක් නැගිටින්නෙ නෑ
cdd1cd81f8	දස අත විසිර තිබූ අතර
cdd1db7616	ඉන්දියාවෙන් ඇතැම් පිරිස් පැමිණි බව
cdd2084552	බීජ වශයෙන් ගන්න පුළුවන් දෙයින්
cdd279d519	පිට්ටනියේ ගේට්ටුවෙන් ඇතුලට අඩියක් වත් යන්න ලැබෙන්නේ නැහැ
cdd2c2dca9	එතෙක් කාන්තා පක්‍ෂයට ලැබී නොතිබිණි.
cdd2e326f7	ගෞතම පුත්‍රනම් රජුම විය හැක
cdd47993a5	ධර්මාශෝක අධිරාජයාගේ රාජකීය නියෝජිතයකු ලෙස නොව
cdd48e47f2	අත්පත් කරගෙන
cdd49ed0aa	නමුත් ජාතීන් අතර සුහදතාවක් ස්ථාපිත වීමෙන් පමණක්
cdd4aedf07	බොහෝ යවිඳින්නට අපූරු තෝතැන්නකිකු
cdd543445b	අද වන විටත් කිසිම තොරතුරක් නැත.
cdd58502bd	මරණ සතිය නිරන්තරයෙන් වැඩිය යුතු ය
cdd68f007d	බුදුරජාණන් වහන්සේට වූවද
cdd6df02aa	බුද්ධපරිනිර්වානයට පසු ඉදිකල නිසා නොවේද?
cdd782492d	වගතුග මානවසිංහගේ බව
cdd7e8e15c	වෙනස අවධාරණය වේ.
cdd81367fc	ඉදිරිපත් වූ කරුණු සලකා බැලූ මහෙස්ත්‍රාත්වරයා
cdd8dd9814	මේවා ඉහටම ඇරගෙන ජීවත් වෙන මිනිස්සු
cdd8fc53f5	එයට ආවෙණික මෙහෙයුම් පද්ධතියක්ද
cdd92903bf	එයත් ඔහොම සල්ලි දුන්නු
cdd93730c4	ඩී.එස්.සේනානායක,
cdd98b3809	දීර්ඝ වශයෙන් සහයෝගය ලබාදුන් මිතුරන්ට
cdd993aa60	ඉතිරි ටික හැමදාම එකයි නෙ
cdda3c7ba0	අපර භාග 07.53 දක්වා පෝය පවතී.
cdda49ac6d	ඒ අය මගේ රුව භාවිත කරනවා.
cddaab99c2	දැන්වීමකි
cddab1e4e9	ඒ ගැන භය ඇතිවී නතර කලෙමි
cddab96893	පරක්කු කරන එක නම් එච්චර හොඳ නෑ.
cddbf72b48	උපයාගන්න ඕනෙ දෙයක්.
cddc499955	මේකෙත් ඉක්මනට ලැබුනොත් එල.
cddcae33a9	ලක්දිව වංශ කතා කියයි.
cddd26001e	ෆ්‍රොයිඩ් ගේ මනෝ විශ්ලේෂණය හරහා.
cdddf317ce	අකුසල් ඔක්කෝම ප්‍රහාණය වෙනවා.
cdde5565ee	බයිස්කෝප් අඩවිය
cddeefe616	මේක සිද්ධ වෙන්නේ.
cddfcca6dd	කිසි බරක් වගකීමක් සේවයක් දැනෙන්නේ නැත්තේ
cddff3ecc0	ඊයෙ හෝ එක් දිනකට පසුව ස්තුති කිරීම
cde0128f2c	ඉන්දියාවේ හිමාලය ලොව විශාලතම කඳුවැටිය
cde05d443b	තැනීම ආරම්භ කර තිබෙනවා.
cde09098a0	හිරගෙදරට වඩා මම ඉස්පිරිතාලයේ ඉන්න කැමතියි
cde0f3b06c	එතුමාට ඕනෙ නැති හේතු
cde0f7fa68	ඔබට මේ ආකාරයේ සිද්ධීන් ගනනාවකට
cde1191021	ඔබ අහල නැද්ද.
cde17db8ee	අද දවසේදි මොවුන් උත්සහ කරන්නේ
cde2c2db7a	ඔන්න ඊට පස්සෙ තමා
cde33e6e66	යුද හමුදාවටත් පිටත්ව යාමේ පෙළපාලිය පැවැත්වීම
cde3ed928c	මෙයත් බලන්නෙ අපිටම කෙලවන්න තමයි
cde41feb98	ඓතිහාසික පොළොන්නරුව ගල් විහාරය අසලදීද
cde49aeb8e	දාගැබ හෙවත් ධාතු ගැබ
cde51820d1	තමුන් දන්න දේවල් එක්ක පටලවලා
cde5535cf4	හැබැයි රැවුල අස්සෙන් දත් පේන්න ගන්නෙ
cde55fa387	විශමලිංගිකයන්ටත් කරදර වෙන තරම්ලා
cde57bf9c7	තම ජීවිකාව කර ගත්
cde5ef1e1c	බොක්ස් හි යටි තලය විශාල බැවිනි.
cde63f21d3	එම පුද්ගලයා අන් අයට වඩා දක්ෂ
cde652abd0	ජනතාව එසේ කල්පනා කිරිම එක් අතකින් වරදක් ද නොවේ
cde689c5d6	අපි වෙනුවෙන් කන කට්ටට පිං.
cde6f2727a	එයාගේ වැඩේ හැම අවුරුද්දකම
cde75f90a7	makita
cde77bba4f	බුදු දහමේ ඉගැන්වෙන ශ්‍රද්ධාව
cde7921f18	කලින් සැරේ වගේ
cde7b42b30	මිනිසුන්ට මෙන් ම සෑම සත්ත්වයන්ට ම
cde7cd9511	භාවිතා කළ විශේෂ නමක් ගැනත්
cde90c7aab	යමෙක් බුදුරජාණන් වහන්සේගේ අවබෝධය අදහා ගත්තා
cde91c9af1	මේ රටේ දේශපාලනේ නිසා
cde97b1343	ගල්කිස්ස වෙරළ තීරයේ බොහෝ දුරක් ඇවිද ගිය
cde9cacc71	ලුමිනස් කාර්යාල ගොඩනැගිල්ල තුළට
cde9cd0a99	අපි බලමුකෝ
cde9e0d3f4	ඔයාට හුගාක් රිදිලා වගේ!
cdeaefc1c9	ඔබ අහලා තියෙනවනේ.
cdeb4da4e2	අපේ ළමයි ලෝකය පුරා
cdeba5363b	නන්දිකඩාල් කලපුවේදීය
cdec3dc2f5	එයට ඇය සිනාසෙමින්
cdeca89b13	හරි ඉතින් වැඩි කතාබහක් නැතුව
cdecd71cd1	බොදුනුවන් විසින්
cded05385a	සංගීත කණ්ඩායම්
cdedad43be	කාන්තාවටද තම නිවෙසේ පවා
cdee09fefa	නමුත් ඒකෙන් ප්‍රකට වෙන්නෙ
cdee39b81d	දැනටද ලංව කටයුතු කරන මුස්ලිම් ජාතිකයින් සිටිනවා
cdee4ef0c9	බුදුන් වදාළේ නකුල පියාණෙනි
cdef821cf1	විශේෂ වගකීමක් තියෙනවා
cdef9db4b7	ප්‍රඥාව ඉස්මතු වූ ආකාරයට
cdefaf9ff5	එසේ නම් ඒ සඳහා අධ්‍යාපනයෙහි ගුණාත්මක භාවය
cdefbeeffb	මෙම අධ්‍යාපනය බොහෝ විට දී ඇත්තේ
cdefd68590	ඒ වෙද්දි
cdefdf7687	අන්න ඒක තමයි මාධ්‍යයට
cdf00227e2	ඉතා ගෞරවයෙන් යුතුව සහාය දක්වති.
cdf01372cc	එසේ කැමැතිවෙන්නේ.
cdf01d8d7f	ඔබ කාලෝ ෆොන්සේකා තරම්වත්
cdf02dd4e7	මිනිස් ලොවදී පින් රැස් කර මියගියාට පස්සේ
cdf09ee7e6	ශ්‍රාවක චරිත නිදසුන් කොට පැහැදිලි කරන්න.
cdf0febe05	ඔයා කලයුතු දේ පැත්තකට දාලා
cdf14b3678	සිනමාව ඉගෙන ගෙන ඇත
cdf156ecf4	සාර්ථක ප්‍රතිඵලයක් ලැබෙන්නේ නෑ.
cdf25a8f55	තාර පාර පැත්තට ගිහින් ටික වේලාවකට
cdf274ce39	දෙහිවල කරගම්පිටිය මේධංකර විහාරයේදී
cdf3560208	පාරම්පරික කලාකරුවන් රැසක්
cdf37b2772	පින්තූර හම්බ උනොත් අනිවා දාන්නම්.
cdf392ac21	ඇයට ආයෙමත් දරුවා
cdf3d8b923	සනීපාරක්ෂන ගැටළු
cdf45d4570	මෙතරම් ඩෙංගු රෝගීන් සිටින ප්‍රදේශ මොනවාද?
cdf5116eea	ප්‍රසිද්ධියේ අදහස් පළ කරන පුජකතුමෙකි
cdf57f217f	අවසානය කරා යද්දී
cdf6241f9c	හෙට දිනය දක්වා වෙනකන් විතරයි.
cdf63ca395	ඇත්ත
cdf65c811b	ගිහින් ගේට්ටුවෙන් පැන්නා
cdf679964f	එම අසනීපය
cdf6ade156	වැඩ කරලා හරියන්නේ නැ.
cdf78d7355	උප්පැන්න සහතිකයෙ තිබෙන නිසා නොවෙයි
cdf8600cee	එක් කාලයක් තිබුණා
cdf8e9332b	ෆ්‍රයිඩ් රයිස් හදන පිලිවෙලටම
cdf98eb1d2	සුදුසු කල විවාහ කරදීම සහ
cdf9f845ca	වැඩකරන ජනතාවට සහන දී තිබෙනවා.
cdfa9c233a	ඔයාගේ එකක් දෙන්න ඉක්මණට.
cdfb4893ee	මහ වනයකට පවා අපි ගියෙමු
cdfb9491f3	ඔහු ඇය සමඟ කථා කළේය
cdfbbc6f6f	මෙම රක්ෂණ ක්‍රමයට ඇතුළත් කිරීමට යෝජනා කරනවා
cdfc1203ba	ස්තුතියි රාජ්
cdfc301812	විචලනයන් භාර ගන්නා ස්වභාවයක්
cdfccc80b9	අවලෝකනය කිරීම.
cdfd34b630	අනේ අනිච්චන්! ළමයිනේ
cdfd7e5da1	කැසට් පීස් ගස්සවගෙන
cdfda6c55a	ඒත් ඉතිං හැමදාම
cdfe2f27fe	බදු සහන දුන්නේ නැත.
cdfe788912	කියන තැන එයා ඉන්නවා.
cdfeafbd04	අනිවාර්යයෙන් කළ යුතු කාර්යයකි.
cdfec42d51	වේගවත් ව සිදු වනු ඇත.
cdfed6e5bd	එම සතර වැදෑරුම්
cdff0a6367	මේ කෘතිය විඳින්නට
cdff1ff629	බොරු අවලාද නැගීමෙන්
cdff3587d3	මට්ටමට සෑහෙන ඈතකට විහිදුණ
