cf21acab35	එකල කලා ශිල්පීහු
cf21bd5fa4	යකුන් නම් වූ මිනිස් පිරිස ඇදහුයේ මළවුන්ය.
cf228f0e1d	එදා තමයි මම දැනගත්තෙ.
cf231a75c3	අපිට ආරක්ෂාවක් ඕන
cf237767a8	xp pro
cf242f58a6	ඔන්න එක දවසක් වළාකුළු අතරින්
cf248f722f	පිළිබඳ විමසා බැලීමද මෙහිලා වැදගත් වේ.
cf2499c0e6	ඒක ඕනෙම කෙනෙක්ට
cf24d84635	පවතින පාලකයා රකින්න.
cf24dbf854	අප්පේ ගොඩකාලයකට පස්සේ
cf251759b2	මව්පියෝ ද වෛද්‍යවරු ද දරුවන්ට කියති.
cf25629c47	ජයවිරාජ් ප්‍රසාද් ලියපු විදිහ
cf25ab441c	අප සහයෝගය දිය යුතු බවයි.
cf264d20a5	යනුවෙන්ද ඔහු පැවසීය
cf26f41209	නළුවෙක් ලෙසත් අත්දකිනවා..
cf27a5fe1f	මහ දැවැන්ත පුරුෂයෙක් ගාවට දැවැන්ත පක්ෂයක් ගාවට.
cf27db7474	ප්‍රණීත වූ ආහාර පාන
cf27fc9f75	ඒක හරි මචං
cf292e080a	නරඹන්නට හැකියාවක් ඔබට නැහැ.
cf2b090a8a	භාරතයේදී ය.
cf2b53e150	බොහෝ භික්ෂුණි ආරාම
cf2cc09a53	දෙවියන්ට දහම් දෙසීම සඳහාය
cf2d4e00f9	පොලිස් නිලධාරියෙකුත් මිය යනවා.
cf2d81144c	කොටුවූ මනුස්‌සයා හිරේ වැටුණේය
cf2db5d5e0	ඒත් මොහු ගේ කැමැත්ත වූයේ
cf2dbefea0	එහි පළමුවැන්න යි
cf3007f133	ඔබ තවමත් එතැනම බවයි.
cf30d2d7c9	දල්වන්න වගේම බිඳ දමන්නේත්
cf31d28ca8	බොහෝ දුක් සහිත වන අතර
cf327bc2fd	මට වැඩක් නෑ කියලා.
cf32a5f482	කාරණය සාකච්ඡා කිරීමට පෙර
cf332005d9	දේශනා කරනවා.
cf338f26a3	මේ දෙදෙනා මුල් කොට ගත යුතුයි.
cf34785e12	මංජුටත් තෙරුවන් සරණයි.
cf34cc0839	මුලින්ම තියෙන්නෙ කාන්තාවක් පැහරගන්නා සිදුවීමක්.
cf34e3881d	එය නොවන බව පැහැදිලියි.
cf3616dfa7	ගහන්න ඒවා නැතිවෙනකොට
cf363ff8ae	තැන්පත් කර ඇති බව සැළකේ.
cf36b596b3	හැබැයි මේ උපමාවට කැමති නෑ.
cf3707d494	ඉංග්‍රීසියෙන් ඉගෙන ගත්තට
cf3718d56d	තමා යෝජනා කරන බව
cf374bcfad	ඔවුනට අමතකව ඇත්තා සේ ය.
cf377e50d3	ඉහතින් උපුටා දක්වා ඇත්තේ
cf37bab8bf	මියගිය මවුපියන් වෙනුවෙන්
cf37cbc564	ඔන්න ඔය අභියෝගවලට මුහුනදීල
cf37f5339c	ඒක කියන්න බැරි වුණේ
cf38f1603d	කුළු හරක් ඉන්න පැත්තට තුවක්කුව ඉලක්ක කළා
cf38f82636	කලු හරකා යනකොට සුදු හරකත් යනවා
cf391c4056	එහිදී වෛද්‍ය නිර්දේශ
cf39843ca2	කාගේ හෝ නිර්මාණයක්
cf39da7c49	අන්න කෙස් බලන්න කිව්ව
cf3a01cc0a	උදේ හවස දුම්රියෙන් රැකියාවට යන එන පිරිස්
cf3a3276db	ගොඩනැඟෙන සමාජ සම්බන්ධතා මෙන්ම හිතවත්කම් ද
cf3b7386c3	අතිජාත දරුවන් ලෙසයි.
cf3b7eb89b	වෙනත් සතුරෙක් නැත.
cf3b9ca757	රාශියක් යට වී යයි.
cf3bf90caa	ලෝකයේ ඕනෑම ජන සමාජයකට සංස්කෘතියක් තිබෙනවා.
cf3c210774	මේ ස්වාමීන් වහන්සේලා දැකගත් පින්වතුන් මහත් සේ පැහැදුනා
cf3c29c07e	විශේෂ පලක් නොමැති අතර
cf3c2e4681	නමුත් දැන් ඔහුට මතක් වෙන්නේ
cf3c9d2014	පුරුදු පුහුණු කරගත යුතු කරුණු අතරෙන් තුනක්
cf3cabf4e1	nice
cf3cfddd28	එම රෝහලට පැමිණ සිටියාය.
cf3d3ac235	මේ සියලු පූජාවන් සිදු කරනුයේ
cf3d814bb6	එන්නේ ගෙදර නම්,
cf3da120e5	මෙහි දුර්ලභ ගණයේ ලිපි ලේඛන
cf3e200631	ඔය අතරේ බුදුරජාණන් වහන්සේලා
cf3e91c899	නමුත් පොර ටෝක් දෙන විට
cf3ed8f2f9	කියන ගමන්ම මාත් ගියා
cf4026b645	තණකොල පෙත්ත දුෂ්ඨය වුණත්
cf4097a32f	ඊට පසුව වෙන දේවල්
cf40d7f4a5	ඒත් බලෙන්
cf41d6cabf	ඔබගේ අන්තිම ඡේදයන්
cf422299ef	මිහිඳු හිමියෝ එහි දී
cf42a635d7	එකම රගපෑම තමයි
cf42b5a2e3	මෙරට සිංහල බෞද්ධ පදනම පිළිගන්නේ
cf42dfe679	ඉහළ මට්ටමෙන් යුත් අධ්‍යාපනයක්
cf42ffed98	වෙන අදහස් වලට ඉඩ තිබුනේ නැහැ.
cf4303f5b6	වෙන්නේ නැහැ නේ?
cf4307540e	මට දැන්නේ තේරුනේ
cf43eb66ea	හිමිහිට ගන්නවා
cf43feea2a	සුවිශේෂී සිදුවීම් ගණනාවක් ඇත
cf443e5c75	දඟයා ලිව්වා විතරමයි
cf45600dbc	පකිස්ථානය නම වැනි ස්ථානයද
cf457a1d33	කෝ අර දැනුමට කියලා දමන කෑල්ල
cf458a74d2	කියවන්න වෙන තැනක් නැනෙ.
cf45b57b3b	ඉස්සරහටත් මේ වගේ නිර්මාණ ලබා දෙන්න කියලත් ඉල්ලනවා
cf461ec044	මුල් කාලයේ මේ සඳහා භාවිතා කර ඇත්තේ
cf4657281e	සිවුවනක් පිරිසගේ
cf466d01b2	තර්කයෙහි සප්‍රමාණ බව පිළිගෙන තිබේ.
cf4673a2ce	ඉකුත් දා රාත්‍රියේදී තවත් යාචක කාන්තාවන් දෙදෙනකු
cf46771b7e	ඒත් පස්සෙ පස්සෙ
cf46be51a8	ඔබට දකින්නට ලැබේවි
cf46fa726b	අනුන්ට ගරහන එක ඕපාදූප කියන එක
cf47c15656	දන්නා අය දනිති
cf480cb407	මරණය නිතරම මෙනෙහි කරමින්
cf48a16411	විවිත්‍ර ලෙස ජාතක කතා චිත්‍රයට නඟන ලද බව
cf495699c0	හැබැයි මට සැබෑවට නිර්මාල් කෙනෙක් ලැබිලා නැහැ.
cf496307e7	ස්ත්‍රී පක්‍ෂය වෙනුවෙන් තනතුරක් පිරිනැමීමටද
cf4a0d189f	සම සෞඛ්‍ය පීඨයේ සිසුන්
cf4a94b399	දේශපාලන හා සමාජ වටපිටාවද සලකා බැලිය යුතුය.
cf4a9ecc6f	චෛත්‍යය වන්නේ ථූපාරාමයයි.
cf4b675cf9	එහි පැවතියේ එක්තරා අන්දමක ආගමික උන්මාදයකි.
cf4b7ddea5	ගත්තට පස්සෙනේ ඒක කරන්නේ කියලා.
cf4c1b9cc9	ඉතින් ඊට වඩා හොයනවනම් බදු ගෙවන්න ඕනි.
cf4c6a8e84	එකතු වෙලා ආරක්ෂා කළා.
cf4cd2aab9	classic cars
cf4d08a974	එක ඉරියව්වක සිටීම
cf4d720bc9	සංගීත ආරකින් මිනිස් සංතානයට ලැබෙනුයේ
cf4fd688d9	ප්‍රාග් ඉතිහාසඥයෝ විශ්වාස කරති
cf5055be4e	එහෙයින් මෝඩයෝ
cf5065ab05	ඊට පස්සේ මම එයාට කියනවා
cf5114209f	පිටකොටුවේ ශාන්ත මේරි,
cf51918e6b	ඒක මගේ හිතේ.
cf51991d5c	දාන්න වෙයි
cf51ec45a5	ගාථා වල විශේෂත්වය
cf5308588a	ඔවුන්ට පෝෂ්‍යදායී ආහාර සැපයීම
cf535153c2	නමුත් ඔබ කවියෙක් නම්
cf538705dc	වෑදගත් දේ තමයි කරනා ලද ක්‍රියාව
cf544934e7	web hosting company
cf5464cd1d	ඔබේ ජීවිතය
cf547612bb	ඔක්කොම එතකොට මේකත් දැම්මහාම
cf54fac653	tribal design tattoos
cf552d15b3	මේ ශක්තිය බලාපොරොත්තු වෙන්නෙ?
cf553d594a	ස්වභාවික විපතක් සම්බන්ධවයි.
cf5593125b	විශාලත්වය සිතාගත නොහැකිය
cf55f4c518	අපේ දරුවන් සූදානම්.
cf55fc35b4	සිරිලකට බලපෑ පළමු සුනාමි අත්දැකීම වන්නේද?
cf561517fc	පාරිභෝගිකයාට අනර්ඝතම නිෂ්පාදන පෙන්වා,
cf56444372	ඉතින් ගොඩාක් ස්තූතියි
cf56583291	පසුපසට ගමන් කරනවාද
cf568936bf	බුදුදහමේ පණිවුඩය
cf5728bdf1	දියුණු කරගැනීමේ අදහසින්
cf597043b7	ගිහින් තියෙන්නෙ තාත්තගෙ මාමලු
cf59ec76b4	බුදුරජාණන් වහන්සේ උදෙසා
cf59f8f346	මොකද දැනටමත් එහි උපසිරැස අවසන් කරලා තියෙන්නේ.
cf5a310fe9	කකා තමයි දවසකටවත් මිනිහා කියලා
cf5a76e426	අත අරින්න බැරිව ඇදගෙන යන සුද්ද හදපු
cf5ab6ed05	damaged vehicles for sale
cf5ae67e1f	මේ වගේ අම්බලමක් ඇතුල් කෝට්ටේ හන්දියේ තියෙනවා නේද?
cf5b001086	ඒකෙත් අවසන් පිටු කීපය
cf5b078703	පවසා තිබේ.
cf5b7b1ec7	විශුද්ධි මාර්ගයේ දී හඳුන්වයි.
cf5bb2bee3	එය හමුදාව අධිපති පංතිය
cf5c849cec	එයින් සමාජයේ උන්නතියට
cf5cc086df	වෙනස් කළ හොත්
cf5cfd43e8	අපේ අම්මගෙ මන්තරේ
cf5d81bdee	එමෙන් ම අළු යට සැගවුණු
cf5d88b0ed	පට්ට ෆිල්ම් එකක් හැමෝම බලපල්ලා.
cf5da97304	අනිත් එක ඇත්තටම
cf5dac51a6	ඒවා හොඳට කළා.
cf5e950640	ආහාරපානාදියෙන් පෝෂණය කළේ කරුණාභරිතවය.
cf5ea716ac	හිතන්න මේ ඔබ දකින අනුරපුරයට යටින්
cf5ec6b003	කෞතුකාගාරයන් හි පමණකි.
cf5ef452ec	පුනරුප්පත්තියක් නැතැයි නිගමනය කළේ ය
cf5f2604ab	ඒකෙන් හොයාගන්න එව්වා
cf5f44ef84	අනෙක් හැම දෙයින්ම
cf600ef178	බුදුරදුන්ගේ සමස්ත දේශනාවෙන්ම කියැවෙන්නේ
cf608618e7	උද්ඝෝෂණවලට වෙඩි තබන එක
cf60e22d17	සාමාන්‍ය ලෝකයේ පොඩි දෙයක් වුණත්
cf610ca474	ඔහු රජ්ජුරුවන්ට පෙන්වා දුන්නා.
cf611e2b90	විසින් සිදු කරනු ලබයි.
cf613cfa64	ඒත් මම දැන් හිතන්නේ
cf6178c317	මිනිස් සමාජය, තිරිසන් සතුන් මෙන්ම වෘක්‍ෂලතා ආදිය කෙරෙහිද
cf620f9b2f	ඊළග ආත්මේ අපි
cf622d6dc1	ගන්න කිසිම දෙයක් නෑ
cf62646440	පක්‍ෂය වෙනුවෙන් පෙනී සිටියා නම්?
cf62a5c3b1	නම් මට ප්‍රශ්නයක්
cf6369ee8b	අපිට ඒක කරන්න පුළුවන්.
cf6451647f	අහල දැකල තියෙන එකක්.
cf64d26d36	මේ දෙකින් විය හැක්කේ කුමක්ද?
cf64d9c8b5	එහෙත් දැවෙන යමක් අහසේ දුටු බව
cf650d85ca	උඹ මේකෙ කමෙන්ටි කරන ඇත්ත සිහල
cf65c4e221	දකිනවා කෙනෙක් සියදිවි නසා ගන්න උත්සහා කරනවා.
cf65db85d0	තම සකල ක්‍රියා කලාපයන්
cf65ed7bc5	මෙම තරුණයා අපට විස්තර කරනුයේ
cf660140a6	පාරිභෝගිකයාට මුල්‍යමය වශයෙන්
cf671b8ac9	මතක් වුනේ තවත් සිංදුවකුයි
cf67532dd2	මිනිසා පස්පවින්, දස අකුසලින්, පංච කාමයෙන් මුදාගෙන
cf67af89ef	දියුණු කරගත යුතුයි
cf67d8ee9e	ෆිල්ම් එක බලන්නම වෙනවා
cf6865469b	එවිට කේසි යළි සාමාන්‍ය පරිදි
cf68698d75	වින්දනය අපමණය.
cf688e0890	කදිම නිදසුනක් වෙයි
cf68b37261	ඒවා යොදා ගනිමින්
cf695762c7	එම ත්‍රිපිටක ධර්මය
cf6a5b291f	කපටි පොඩි නම නොදන්නවා වගේ ඉන්නවා.
cf6ac774f4	ප්‍රතිඵල හරියටම හරි
cf6bb07c45	මිසදිටුවන්ගෙන් වන හානි
cf6bb794f8	එහෙම පදනමකින් නෙවෙයි.
cf6bc6f75b	කියලා දැන් හිතෙනවා.
cf6bc79756	තුට්ටු දෙකට පාන්පිටි සමාගමේ
cf6c0f64e9	මෙම ග්‍රන්ථකරණය කෙරෙහි
cf6d498c15	ඔයා දාන්නෙ කොල්ලෝ දාන සපත්තු
cf6d71d8a2	නිවැරැදි බෞද්ධයන් ලෙස අප නැවත සිතා බැලිය යුතුය.
cf6dbe7027	ඔය ලක්ෂණ ටික තියෙනවා
cf6e16ae3a	අම්මගේ ආදරේ සමාන කරන්න පුළුවන්
cf6e4e3848	හාමුදුරුවෝ මේ බව වගකිවයුතු අංශ වලට දැන්වුවා.
cf6e9ec731	තමන් තනියම කරගැනීම
cf6eab5c44	උන්ගේ උද්දච්චකම පිපිරෙනවා.
cf6ee6378e	සාඩම්බරණීය බෞද්ධ උරුමයකි.
cf6f2e25ea	අජරාමරහි දක්නට ලැබෙන්නේ එයයි
cf6f695aad	මොන නමින් ලිව්වත්.
cf6fb9c8f7	උන් නම් සිංහලයෝ
cf6fc2b0a2	මෙය වරම් ලැබුවා
cf6fd39208	ආයේ සිංහලෙන් බලන්න පුලුවන් මේක.
cf6ff01a6d	ජීවිතය ගැට ගසා ගැනීමේ අභියෝගයටයි.
cf6ffe5a02	දේශපාලනඥයන්ගේ ඇසුරක්
cf70ce26db	අපි කට ඇරියොත්
cf711e3cdd	රෙයර් මීඩියම් ඩන් කියල
cf71c99889	මෙම අරමුණු ඉටු කර ගැනීම වෙනුවෙන්
cf71f1facd	එම නිසා කෙනෙක්
cf7241e21d	උඹ වගේ එකෙක් මෙහෙම හරි
cf72c2ae9b	එවේලෙහි අපගේ ශාස්තෘ වූ
cf7326fe5c	මුල් ඇදහීම අතහැරියේ නැහැ.
cf735803fb	නවකතාකරු ඇතැම් විට අමතක කර තිබේ
cf73c3e843	තීරණයක් ගන්න ඕන බලන්නේ
cf741f4c2d	ලම්භකව තියෙන නිසා මිස
cf74255d5d	විශ්ව විද්යාලෙකට දාගත්තොත් ඇති කියල.
cf74606b48	ශාන් සහෝ සිංහල උපසිරැසියට.
cf7542d769	කිසිම කෙනෙකුට දුරකථන ඇමතුමක්‌ගන්න බැහැනේ
cf756d8ff2	අද කතාවට වඩා
cf75e97c6b	මෙහි ලා පිනෙහි ස්වභාව තවදුරටත් වටහා ගත යුතුය
cf76152bf5	මුහුණ දෙන්න ඕන.
cf761f0d7e	ජීවත් වෙන්න..
cf76dc6e06	ඒක හින්දලු
cf76fad79e	එයාගේ කීම නිසා
cf76ffe15c	සිංහල දෙනකම් හිටියෙ.
cf77a92015	ලොව්තුරා බුදු බව ලබන්නේ ය.
cf787fd499	විස්තර කොට තිබෙනවා.
cf79234ff1	මෙච්චර දේවල් කරන්න බෑ.
cf794f9134	බාධාවක් වෙලා නෑ.
cf79529549	යෝනිසෝ මනසිකාරයෙන්
cf79635b97	පුද්ගල පෞරුෂය වර්ධනය කරන ආකාරය
cf7a9e68d7	අධිකරණ ක්‍රමවේදයක්
cf7adc1349	අපට ඒක කොච්චර දුරට
cf7aeb84f1	මේ සම්බුද්ධ ශාසනයට
cf7b76a4af	හෙළි වී ඇත.
cf7c219721	මඟ පෙන්වීම ලැබිණි.
cf7c344f19	රස තෘෂ්ණාව නැතිව යයි.
cf7c6b38d0	මේ වනවිට ඉන්නේ රහස්‌ පොලිස්‌ අත්අඩංගුවේය.
cf7cb9c85c	එවැනි විපරීත ඇඳුම් වලින්
cf7d347494	අට වෙනි කොටසටත් ඇවිදින්
cf7d4d4864	දෙනකම් හිටියේ.
cf7d648784	එක් දිනක් රාත්‍රියක ඔහුගේ පැල්පතට සොරෙක් ඇතුළු විය
cf7d9a54e5	බොහෝ කල් ගත වි ඇති බවයි.
cf7ddc59ef	නමුත් ආචාර්ය ඩොමිනික් පවසන ආකාරයට
cf7dece342	බුදුහාමුදුරුවෝ ද යමක් කළේ
cf7e234a49	ඒගොල්ලත් ඒව බලනවා.
cf7f370f91	අද වන විට සූත්‍ර පිටකයේ
cf7f419f69	බුදුරජාණන් වහන්සේ මීට අවුරුදු දෙදහස් පන්සිය ගණනකට කලින්
cf804491d3	කුකුරුමහන්දමන ටැම් ලිපියේ සඳහන්වේ.
cf81084db5	rose flower
cf813c1122	කේ.ඩී
cf81548dec	ඉටුකර ගත හැකි දවසකි.
cf81acdd79	උඹ ඒකේ ඇතුලෙම ඉන්න නිසා උඹට තියෙන අවබෝධය වැඩියි
cf81c11f1e	ඇතමුන් විවෘතව අග්නිදිග ආසියාතික යුද්ධය හෙලා දකින ලදී.
cf82059a0d	ඉතිං ඒවයේ අපට ඉහළ මට්ටමක් බලාපොරොත්තු වෙන්න බෑ
cf824f08ec	මෙහි පුරාණ දඹදිව පිළිබඳ වාර්තාවන් අඩංගු වේ
cf8254c3c8	ඒක එහේ හෝ මෙහේ
cf82ff5ef1	ඌට ඉලක්කම් වැඩි කිරීම
cf8302e710	තාම කවුරුවත් ඒක භාර අරගෙන නම් නැහැ.
cf83030333	අද්විතීය වූ මහා පුණ්‍යවන්තයෙක්.
cf835a9176	හොඳ හොඳ සෙල්ලං තියෙන්නෙ.
cf839302f1	ymail.com
cf8435f1eb	මේවායින් එකක් හෝ නොමැති නම්
cf8452c748	අවසානයේ මහරහත් පදවිය
cf847927fc	ඒවාට බෙහෙත්
cf8480bc74	කථානායක චමල් රාජපක්‍ෂ මහතා විසින්
cf84882bb8	එකම ප්‍රශ්නය උන් දෙගොල්ලන්ට රටෙන් කෑල්ලක් නොදීමයි
cf8503cda5	විධිවිධාන උපරිම ලෙස යොදා ඇත
cf85d5ecec	මතු වෙන්නේ නැහැ.
cf8654d375	බණ පොතට අනුව සිහිකරන කොටත් සිත පිරිල යනවා.
cf867580cb	ඕංෆාස්ට් ඇන්ඩ් ෆේවරියස් එකේ
cf86866ea4	ශක්තිමත් රෝදයක් සවිකිරීම
cf86abe127	එහෙම පසුබිමක
cf87485a58	අන්තිම අවසානයේ හරිය එද්දි
cf878eee44	ආත්මය හෝ ආත්මීය සේයාව,
cf87b3f275	මෙබඳු ගුණ කදම්බයෙන් යුත් මව්පියන්ට
cf8899db08	ඔහුගේ ශ්‍රී ලංකා චාරිකාවේ සම්ප්‍රදායයක් බවට පත් වී තිබේ
cf89079de6	උපුටා ගැනීම් සියල්ලම ඔවුන්ගේ අවසරය මතම සිදුවිය යුතුය
cf898fc824	සමත්වී නැතැයි ඔහු පවසන්නේ
cf89c5f5a5	අද මම පුදුම වෙමි
cf8a200210	උඹල පැවතගෙන එන්නෙ කාගෙන්ද
cf8a3a6c5b	රාජ්කුනුහබ්බවල නෙවෙයි
cf8a6f05e6	අපි රාජ්‍ය සේවය
cf8ac7bc82	හැම වෙලේම
cf8b03fae2	උපහාසයට ලක්කරන්න තරම්
cf8b3da934	බුදු දහමේ සැබෑ පරමර්ථය මේ ලෝකය විනාශ කිරීමයි.
cf8b94007c	අදටත් රෝම නීති අනුව ආගම වෙනුවෙන්
cf8c39f033	එය ප්‍රතික්ෂේප කිරීමේ හැකියාවක් පැවතීම යි.
cf8cc2a2da	බොහෝ අපරාධ එකී රෝගයේ ප්‍රතිඵල ය.
cf8ce6dbcd	අර ආගම යනු
cf8d0a927c	අද ‍අලුයම . ට පමණ
cf8d2dd880	පිළියෙළ වී ඇතැයි සිතිය නොහැකිය.
cf8d372cc1	ගන්න කාලය වගේ හතර පස් ගුණයක් වෙලාවක්
cf8d61d8e5	උත්තුංග දේහධාරී රණකාමී
cf8d7958dd	මෙන් දිස් විය.
cf8ddcaa0d	අපි ගෙවන්නම්
cf8e92e839	එහි ඇති සැතපෙන බුද්ධ ප්‍රතිමාව
cf8f352957	ජේ කියන්නේ හොඳ පුද්ගලයෙක් කියලා
cf8f36e812	යෝජනාවට පක්ෂව ඡන්දය දුන් අතර
cf8f3a0583	අපේ දුවා දරුවෝ විවාහ වෙලා
cf8f3a75fb	බෝධීන් වහන්සේ නැහැවීමට
cf8f5fad27	තුලා රැකියාව සුපුරුදු පරිදි කරගෙන යාමට
cf8f6d9a98	මේක වැදගත් වෙන්නෙ කොහොමද?
