cf21acab35	එකල කලා ශිල්පීහු
cf8f7666bd	චාර්ල්ස් ඩාවින්ගේ පරිණාමවාදයේ එන මූලික සංකල්පයකි
cf8f94e46f	සියළු දෙනාම තම ජීවිත පූජා කිරීමට සිදුවේද?
cf8fba1bc9	ලොව පහළ වී වදාළා.
cf90511036	හිතෙන්නේ නැහැ.
cf90ce8eb7	කිසිවෙකුට අයිතියක් නැත
cf91332a92	ඔබ ක්‍රිකට් ක්‍රීඩකයෙක් කියන එක
cf920fcae8	ජේතවනාරාමයේ ගොඩනැඟිල්ලක වෙයි.
cf9258ddbf	එයින් ජීවිතයේ ප්‍රබල වෙනසක්ද
cf92630fad	derana city of dance
cf92d97a35	ඕනෑම කෙනෙක් ඕනවට වඩා විස්වාස කරන්න එපා කියලා.
cf92ff6d69	army
cf93c36496	පශ්චාත් නූතන ලක්ෂණ
cf93d0efbe	මතක ඇති
cf942aaa6d	ඇත්තටම උඹලා හැසිරෙන්නෙ
cf94523f78	ආදරය වෙනුවෙන් ඔයාලට කොච්චර කැපවෙන්න පුලුවන්ද කියලා මේ චිත්‍රපටිය බලලා ටිකක් හිතන්න.
cf94c316ea	අනුමත රසායන තියෙනව
cf94f9cdd7	මුකුත් කිව්වේ නෑ
cf95da5338	භික්‍ෂුණීන් භික්‍ෂූන්ට අවවාද නොකළ යුතු ය.
cf960db250	ඒ රැකියා දෙන්න ඕනේ
cf9610c214	උඩරට විවාහ චාරිත්‍ර අනුව
cf966068a9	හිරෙන් එළියට ආවේ කොහොමද කියලා
cf96a8669a	වෙලාවක් නෑය කියල.
cf96f5643b	අප ගැන තැකීමකින් තොරවම
cf96f73085	හැම අතින්ම හොඳ වෙලා
cf97ef784d	මේ නිගමන අප පිළිගත යුතු බව
cf9815acc2	රාජ්‍ය අනුග්‍රහයෙන්.
cf98276359	එහි දෙවන තැන චීනයට
cf983e59d3	මෙහි ප්‍රධාන චරිත නිරූපණය කරයි.
cf98830773	ඒ කෙනා මහා වීරියවන්තයෙක්.
cf98837fc3	අන්තිමට මේකෙන් ජීවිතයට ගන්න දේකුත් තියනවා.
cf98a643b3	කාලාම සූත්‍රයේ දැක්වෙයි.
cf98dab874	සර් මුලින්ම හැදුව වේදිකා නාට්‍යය පිටගම්කාරයෝ ය.
cf98f3d1ab	පැවිදි අය හැදුනේත්
cf99e85f4a	යුරෝපීයයන්ට බියෙන් මුළුගැන්වුණු සිංහල ගැමියා තුළ තිබූ
cf9a3940d6	එතකොට ඒ මිනිස්සු මේ සමාජයේ සාමාජිකයන් නොවෙයිද?
cf9a48b060	සඳගිරිපව්ව ටෙලිනාට්‍යයේ රඟපෑම වෙනුවෙනි.
cf9b8299a3	ghost
cf9beda31e	ඉපදීම වගේම
cf9caf17da	උඩු දුවපු ප්‍රශ්න දකින්නේ නැහැ
cf9cfe2890	පෞද්ගලිකව අධ්‍යයනය කරන පිරිස්ද සිටිති.
cf9d008713	කිනම් අයුරකින්
cf9d219e61	ඔය පරසුද්දෝ ඊට පෙර
cf9d2cae73	උන්වහන්සේ භූමදාන කළ ස්ථානයට
cf9e164d83	වැදගත් ගුණාංගයක් ලෙස මා දකින්නේ
cf9eabbd31	එබැවින් වැරැදි නොකරන
cf9eafd47e	ඒත් මේ තියෙන
cf9eafe427	බෞද්ධයන්ට බෙහෙවින් වැදගත්වන කෘතියකි.
cf9eb00145	බොදුණුවාට සඳකඩ පහණ සහ පියගැටපෙළ හමුවේ.
cf9ede5d4e	ගෙදර ඉන්න පුළුවන්.
cf9f3e1a9c	මේ කෘතිය විඳින්නට
cf9f5bdeb8	එය පරණගල පන්සල ආසන්නයේ
cfa034e1a1	පුණ්‍යවන්ත මෙම රණ මොණරා,
cfa062332c	රැග් එක ගැන නෙමෙයි.
cfa0b74152	idm
cfa0c8a9d3	මැටි හරක් මිසක් වෙන කවුරුවත් නෙමෙයි.
cfa125dd04	පවුල් පිරි නිවාස ඔබේ නෙත ගැටෙනවා.
cfa1b4ed2e	කිලෝමීටර විසි දෙකක්
cfa2b04232	අටවන වසරේ දී
cfa2b6eb0c	ගෑනු කියන්නේ මනුස්සයෝ නෙවෙයි කියලා.
cfa32c7968	රෙදි කෑල්ලක් දුන්නා.
cfa37aa730	මට විශ්වාසයි.
cfa3d64c51	වේලාව බලන්න ඕනේ
cfa46903a2	phone wallpepar
cfa479fffb	පුහුණු කළ යුතු ය
cfa4ab3dd3	මෙම මිල අඩුකීරිම තියෙන්නේ
cfa5cacb5d	ඔබට ඇත්නට දෙනඑක නොවෙයි
cfa6004b1a	තමන්ට විශාල ආරක්ෂාවක් ලැබෙනවා.
cfa7265b65	ඔබ මේ අභියෝගය
cfa8475241	ව්‍යාඝ්‍රයන් හිපපොටේමස් පවා ඉදල තියනවා.
cfa88dcb67	අපට කිසිසේත්ම මෙවැනි දේ ගැන
cfa8b19ac3	එහි සිට මට කළ හැකි දේ
cfa8d27eff	හඳුනාගෙන තිබෙන්නේ මොකක්ද?
cfa920335c	ජනපති මුර්සිගේ පාලනය
cfa9291d87	මේක ලක්ශවාරයක් වටිනවා.
cfa92fd579	අපි අවසන් පන්දු ඕවරටම
cfa9387eac	ගාල්ල ඕලන්ද බලකොටුව හා පැරණි නගරය
cfa98a9436	එතුමා මල්වතු මහා විහාරයට ඥාතිකමක්ද තිබෙනවා
cfab13837c	ඊට සවන් දීම ඇත්තටම ආශ්චර්යයක් නොවේද?
cfab22ef89	තාත්තා මගේ හැම උපන් දිනයකටම
cfac4c2a7a	වැලි කොට්ටයක් ගෙන යනවාට වඩා
cfad20f4e7	හදන උන්ට තමයි මම බනින්නේ
cfad582c7a	එලෙස සමාජයට කණවැල අල්ලන්
cfadf0cc19	ඇය වාසනාවන්තය
cfae084121	ලාභ ලැබිය හැකි ගොවිතැනක් පවත්වාගෙන යාමට
cfae3f00d9	ඒ ක්‍ෂේත්‍ර නියෝජනය කරන අයත්
cfae449df7	ධර්ම පොතපත ලිපි ලේඛනවල බොහෝ වැරදි තියෙනවා
cfae44cd85	ස්ථිර ආදායමක් ලැබිය හැක
cfaf088eca	ඉතිහාසයෙහි සඳහන් වේ.
cfaf2542ad	ඒ අයගේ නම්
cfaf430911	ඇසුරු කළ නාගයින්
cfafe09782	ඔයාට එය ලෙහෙසි වැඩක්
cfaff0171c	essays about private universities in sri lanka
cfb09e2000	amazon
cfb24ce04e	තිබුණු සුදුසු කම මොකක්ද?
cfb2c106ad	එහි ඉතිරිව තිබිණි.
cfb2c7b7ba	ඔය තියෙන්නේ කරන්න ඕන දේ
cfb2c7c107	ඊර්ෂ්‍යයා ක්‍රෝධ දුරුකොට
cfb2f2d390	ඔන්න මම මේ පාර ගේන්නේ
cfb3b90217	මේ සඳහා එකක් භාවිත කළ හැක.
cfb47397ba	ඔහු දකින්නේ තවමත් මේ
cfb500300b	උණ පඳුරේ සිර වූ මහා උණ ගසක් හැටියට
cfb708b958	සිංහල භාෂාව මැනවින් උච්චාරණය කරන
cfb732c71b	softwares
cfb7648e5f	වැරදි සොයන අදහසින් ම යි.
cfb7cb36c6	ගොන් කතා නොකිය
cfb9ab253a	මිනිස්සු සැදැහැයෙන් මෙම බමුණනට ආහාර පාන පිදූහ.
cfba00766b	පඳුරක් අස්සට රිංගන එක
cfba7313a5	අවශ්‍ය නම් මගේ පින්තූරයක් අරගෙන
cfbab96e52	ඇතැම් මාධ්‍ය තුළ පළවන දේ දැක්කම අපට එහෙම හිතෙනවා.
cfbc7f37d1	යහපතට සැලසෙන්නේ අප්‍රමාණ මෙහෙවරක්.
cfbca70c3c	මෙය සමාජ සෙවයක්.
cfbd1dd6f4	බිතු සිතුවම් නිර්මාණයට
cfbd2b794d	පාසැලක් වෙත ගොස් ඇරලනවා.
cfbd529a48	මතට දුරාචාරයට තිත තබා
cfbdbe6e49	ඒ වගේ
cfbe0cbe3a	ඉතින් එහෙම දෙයක් එක්ක චිත්‍රපටයක් ආවොත්
cfbea45999	මේක ස්පාඤ්ඤ චිත්‍රපටියක්.
cfbeb12f5e	දර්ශනීය නැටුම් අංග
cfbebe0bab	kandy perahera
cfbf52cbe5	මල් සපයමින්
cfbfa58ef0	after 2012 film
cfbfc8f915	ඒ මොන කාලයේද
cfbfefb7b8	අල්ලගන්න එපා ඔය වැඩ වලට
cfc04a7e41	විසිතුරු විදියට සරසලා
cfc11758e4	කිසියම් විවාදයකට කරුණක් විය හැකි ය
cfc11aef2f	සමහර ව්‍යාපෘති නැරඹීමට
cfc1be2bfb	කුමරියගේ සිත උපන් අනුකම්පාව
cfc1e0ba0e	ආහාර බින්දුවක් දිව මත තියලා
cfc212b2ad	ක්‍රියාමාර්ගයක් නම් පමණකි.
cfc24fb574	එකම දෙයක් බවත්
cfc28a201d	ලියුම්කරුට ඇතැයි විශ්වාස කරමි.
cfc2e24f8c	අභ්‍යාස කිරීම,
cfc334e76d	කෙනෙක් විදියට.
cfc394af6a	ජීවිතාවබෝධයට ඉලක්ක කරපු
cfc3d645a1	අඩු තරමින් රටේ ජනාදිපති වත් දැනගෙන හිටියද අම්බරුවෝ?
cfc4281dca	ප්‍රමාදය පරිහාණියට මාර්ගයකි.
cfc490c8e2	මෙලෙස මනුෂ්‍යයෝ පමණක් නොව
cfc5885b63	මේ පුතු ඇතුන් රෑනක් මැද රජ වේය කියාය
cfc5a46a49	දෙමළ ජාතික සන්ධානයට මදි.
cfc6b39518	laila
cfc7aee02d	ආයාසයකින් නොහොත් උත්සාහයකින් තොරවය.
cfc7dab92b	තම අනන්‍යතාවය නොපෙන්වන අයෙක් සිටීම
cfc8477549	forearm tattoo
cfc84ef8b0	ඉතින් ෆිල්ම් එක බලන්නම වෙයි.
cfc851401d	korea
cfc8aa135c	සෞදි අරාබියේ කොටසක් දැයි විටෙක සිතේ.
cfc95ed4b8	මේ ගාථාවෙන් වදාළා.
cfc970f333	මේක බැලුවා කියලා
cfc9b9f42c	සමාජ පරිවර්තනයට මඟ පෑ
cfc9d9bead	අපිට බැහැ කළු ගල්වල ඔළුව ගහා ගන්න
cfcad2a675	ආස්වාදනය කරද්දී
cfcb151032	මහපාරෙම රහත් වුණා.
cfcb810ad3	කථාව නැතිව රෝගී වන තත්ත්වයක් හටගනී
cfccc79943	තාවකාලිකව නවතා දමා හෝ
cfcce57d5c	zoom
cfccfeeb9a	බෝසතාණන් වහන්සේ පාරමී පුරන අවධියේදි
cfcd8906b4	ඒ අපේ නා හිමියන්.
cfcd9694be	මෙම පුවත දැනගත්තේ.
cfcdf052ab	online gaming zone
cfcdfc71b6	අපි ඔවුන් සමග සාකච්ජා කළා
cfceb9855f	වසල කම අදහන ධර්මයෙන්ම එලියට.
cfd07aa65a	ඔහුට දුන් පින් පෙත් නොලැබෙන්නේ ය.
cfd0c0ed3e	එක් සුදුසුකමක් පමණි
cfd0de0405	රක්වාන කඳුවළල්ලට අයත්වන මෙම වනය
cfd12c9055	පාක්ෂිකයෙක් උනාම තියෙන වැරැද්ද.
cfd16e52d3	ඔය එක්කම මම අහන්න කැමතියි
cfd21616a0	ඊශ්‍රායලය යනුවෙන් ‍රටක් නොපවතින
cfd220c56a	ඔයගොල්ලො ඇවිත් ඉන්නේ.
cfd25965cd	ඉතින් ඔබ කියන්න
cfd2b339ee	එයින්ද පෙනීයන්නේ
cfd3484952	සුගතියක් නැත.
cfd3d89e13	උත්සව අවස්ථාවලදී අඳින
cfd3eca455	සසර දුක් බහුලව විඳීමට සිදුවේ.
cfd3efff75	ඇය වෙනුවෙන් යමක් කරන්න
cfd417a603	මුසුවීමට තිබූ ඉතාම වැදගත් නාලිකාව
cfd4610dec	ඇසුරින් තනන ලද්දක්
cfd463c620	හැකියාව ඇතිකර ගන්න ඕන
cfd494f59e	tarunaya dotcom
cfd56da79f	එසේ නොවේ යැයි කීමට
cfd574430e	නමුත් ඒවා විද්‍යාත්මකයි
cfd5846c8f	ඒත් පසුගිය කා‍ලේ සිනමාවට
cfd6513f07	විනය සම්බන්ධ ගැටලූවක් නිසයි
cfd65281ca	ඉන් මෙපිට පවතින තහනම් කිරීම්
cfd6618ac6	හරිම සතුටුයි.
cfd6dc99e1	කොහොමත් ටිකක් ලොකුනෙ'
cfd6fc4056	මැජික් යනු හාස්කම් වුවත්
cfd70e2629	පුහු සදාචාරයක් නිසා
cfd73e5474	ඒත් කවදාවත් ලඟට දැකලා නැති නිසා
cfd74a29d6	ඒ දැනුනු දුක අදටත් එහෙමමයි.
cfd7775ad2	දෙස් විදෙස් සංචාරකයන්ට මහත් අඩුවකි.
cfd7857bdc	සමහරක් අන්‍ය ජාතිකයන්‍ සිතන්නේ
cfd7c5b68f	දඬුවමකට යටත් කළ යුතු බව අපි කියමු
cfd8916be7	සැකකටයුතු පුද්ගලයකු කලබලයෙන් පැමිණ
cfd8b77dee	ඒකටත් එක්ක අපේ එවුන්!
cfd9050078	හැමෝම කරන්නෙ එකම දේ.
cfda38edb3	ඉතින් උන්ගෙ විද්‍යාව එ
cfdaee69f9	සමහර කාරණා නොහිතන මට්ටමේ කෙල වීමකට සප් එක දෙන්නත් බැරි නෑ
cfdb21f299	ආරාම විහාර නොමැති නිසා නොව
cfdb5f3897	යමෙකු මිය ගිය පසු
cfdbdb65c0	හොඳ නරක තීරණයට නිර්ණායකයක් නැත
cfdbdcd361	මේ සුවිශේෂී වනාන්තර ප්‍රදේශය තුළ ය
cfdbfd23cd	රූප දාන යනුවෙන් අදහස් කරන්නේ
cfdc8086d0	හේතුවි ඇති බැව පෙනේ
cfdcc1e0c4	සංස්කෘත විදර්ශනා යන්න
cfdcf0cc9e	පණිවිඩයක් ලබාදෙයි.
cfdd474a04	ඒ ගීතවත් පද මෙසේ ය.
cfde5384d1	දරුවෝ ටිකක් තමයි
cfdedf6420	අමාත්‍ය මර්වින් සිල්වා මීට ඉහතදී
cfdf168f87	උපතක් කරා අරගෙන යන එකයි.
cfdfe10816	මේනිසයි මේ පොත එළියට ඒම
cfe00871ac	අවුරුදු පහකට විතර වරක් වගා කිරීම.
cfe06344e6	සියවැනි ජන්ම දිනය යෙදෙන්නේ
cfe09ec529	වර්මානයේ මහා හඬක් බවට පත් කළ හැකිය.
cfe0d3cfe1	ඉසුරුගෙ ලේඛන ඒවයෙ කියවිලා තිබෙන
cfe1288fa0	ඉතින් ඔයාලට මේ කොටසින් බලා ගන්න පුළුවනි
cfe16aa854	එම කෘතියේ සඳහන් වන ආකාරයට
cfe16fe60e	පොඩ්ඩක්වත් කම්මැලි හිතෙන එකක් නම් නෑ.
cfe1a36ada	එය සදාතනික මතක සැමරුමකි.
cfe1d09138	මිනිසා තමන්ට ලැබෙන පංචකාම වස්තුන්
cfe20a5228	ඔවුන් ගන්නා ක්‍රියාමාර්ග කිහිපයක්
cfe2879967	මෙම යුගයේදී නොයෙක් නීච කුල ජාතිකයන් රජ වෙති.
cfe3b4f9e6	මේ රෝවර් යානය බැස්සවීම
cfe3fb0e47	අදාළ බලධාරීන්ගේ අවධානයට යොමු විය යුතුය
cfe5217f91	කාන්තාව කෙරෙහි දක්වන ලද සැලකිල්ල
cfe5dc02d3	ඔය චීනගෙ පාස්පෝට් එකට වඩා
cfe662835e	මහා සංඝයා වහන්සේට ද ආරාධනා කළා.
cfe683627d	අනතුරටපත් පිරිසට පිහිට වෙන්නට
cfe68ed907	සේවාවේ විකාශනය වෙන්නේ
cfe6b51082	මේ චිත්‍රපටිය කොච්චර සුපිරිද කියලා
cfe712900d	ගොඩනැගිල්ලේ සුන්බුන් අතර කෙරෙන සෝදිසි කිරීම්
cfe75939ca	house plan broker
cfe789b6a2	මෙය බෞද්ධ සංස්කෘතික අංගයන්ගෙන් පිරිපුන්
cfe7f25eb6	එම කලාපයේ හදිසි තත්වයක්
cfe807cbc6	සෞදියට ලෙබනනයට රස්සාවලට
cfe83c4a31	ගන්න කොට
cfe866f5f1	ඉන්දියානු සමාජයට හඳුන්වාදීමට
cfe883a10d	අවහිර බාධාවකින් තොරව
cfe8d9ef95	nokia xl
cfe91deee5	තරම් වූ උසස් ජාතිය
cfe92f7696	එම නිසා මේ පත් කිරීම
cfe93c7b02	ඔබත් එහි කොටස්කාරයෙක් නොවෙයිද?
cfe96fcec7	මොකද මේ නාට්‍යයේ නමට
cfe986ff40	දරුවා අකැමැති වුනත්
cfe9bfade7	අවස්ථාව ඊට ලැබුණේ නැහැ.
cfe9e46c09	බුදුහාමුදුරුවෝ අද කාලේ හිටියනම්
cfea4a108f	එකා මෙන් වැඩ කල යුතුයි.
cfebcf8d75	එහෙමත් නැත්නම් ආකල්පයක් දරන්න පුළුවන්.
cfec33ee47	දේශීය වෛද්‍ය අමාත්‍යාංශය සඳහා
cfec9b2519	පැයක්‌ ගතවීමට පෙර
cfecc69b22	එකෙක්වත් නෑ
cfed10d733	මට ගොළු හදවත කියවන්නවත් බලන්නවත්
cfed3cdf7a	ඔහු වෙතින් සම්පූර්ණ වෙයි
cfede5ba9b	ලංකාවට එරෙහි?
cfede6e511	මෙසේ කටයුතු කිරීමෙන්
cfef3c5fe0	අනිත් කාරණාව නම්
cfef77d736	අපේ ගොනා අපිට හොඳා
cfef8912fc	අපේ රටේ ආර්ථිකය කඩා වැටීමට හේතුව
cfefbf0123	බාගෙන බලනවා
cff0695785	නාකියා දැන්වත් කට පියාගෙන ගෙදරට වෙලා ඉදපන්
cff15c370b	මූ විතරක් නෙවෙයි තව මූ වගේ කීපදෙනෙක්ම ඉන්නවා දිය යට ගින්දර ගෙනියන.
cff15e8744	වන තරමටයි?
cff28aab19	love photos
cff2b55df0	ඕකනෙ කිවුවෙ රනිල් එක්ක බෑ කියලා
cff2cc3d2e	පෙර සිහි මුලාවීම සිදුවීමටත් ඉඩ තිබෙනවා.
cff2f051cb	දුක හිතිලා ආපහු යනවා
cff2f46acb	ඒ වගේම ඕනෑම කෙනකුට
cff303b326	සන්ධානයෙන් යනවා.
cff30f5346	අද කම්පස් එකට එන්නෙ
cff31c979b	ෆයිල් එකේ හැටියට
cff369cf6d	වඩාත් සුදුසු යැයි සිතමි.
cff3924d14	උප පොලිස් පරීක්ෂකවරයකු ලෙසට ඇමැති ආරක්ෂක අංශයේ සේවය කරන ඒ.ටී.
cff4205e0a	තාත්තාට ඉංජිනේරුවරයකු ලෙස
cff491599d	ඉතින් මේ මල්ල අරගෙන
cff4c106e4	එහෙත් අමරේගේ අමර වැඩ
cff4c9b236	point and click game
cff53016eb	දෙවන ආහාරය නම් ඵස්ස ආහාරය යි.
cff535c52e	පොලිස් වාහන ඉලක්ක කර ගෙන.
cff53f6ad0	ඉතාමත් වැඩ රාජකාරි බහුල කාල සීමාවක
cff548f6c8	සහය දැක්වීමට කැමතියි.
cff5584744	රුසියානු බලධාරින් පවසා සිටියි
cff55ca7ec	මනුස්ස ඝාතන සිදු නොකරයි
cff58da004	එනම් සූර්යයා මීන රාශියෙන් නික්මෙන්නේ
cff5ab6426	සොයා ගන්න බැරි වුණා.
cff61d9bdd	නමුත් එය ලෙහෙසි නෑ
cff67272e4	පින ගැන සිහිනොවීම නිසයි.
cff6a01b6a	කපු මහතා සතුටු වීමද
cff6d4a697	අපිත් වැඩිවිය පත්වුනාම තමයි
cff6f0da63	දනවන ගතිය නිසාම.
cff76c316c	පිරිත්දේශනා සඳහා දායකත්වය ලබා දෙයි.
cff7706db0	සාමකාමී මැතිවරණයක් තියෙනවා නම් කැමැතියිලු.
cff8a555ab	එක්තරා පන්සලකට ගියවිට
cff8b69fa5	මෝහනයට පත් තැනැත්තා
cff8d84fde	ශ්‍රේෂ්ඨ වූ රත්න භාවයෙකි.
cff913371b	ඔය ඉතුරු වෙලා තියෙන
cff98a6314	ඒ දේශපාලන කාරණා වැසී ගියේය
cff9c19113	පාප මිතුරන් හඳුනා ගැනීමට තරම් අප පරිස්සම් විය යුතුය.
cff9ed1ddc	අධ්‍යාපනයේ කොටසක් බවට පත්වී ඇත.
cffa73f441	එහෙත් අනාවරණය නොවූ උමං
cffb32f502	එල එල ඔන්න බෑවා
cffc3bec18	ඒත් හැම දේම හරියයිද
cffce492d5	මේ අවුලට හේතුව
cffd2be2ab	එක පාර හිතුනෙ
cffd47b88f	සංචාරකයන්ගේ පැමිණීම ඉහල ගියත්
cffd4d7489	after 2012 film
cffda5b923	මේක නම් පුදුම විදිහෙ
cffe1a59a2	අහිංසක කම රැක ගන්න කියලා
cffe1fabaa	ඔවුහු හැඳින්වෙති.
cffe2bf80d	මා යහපත් ලෙස හැසිරෙන්නේ
cffeced63c	proposal marriage
cfff1fac0a	ජූරි තීරණයක්.
cfff32b57d	ඔක්කොම හොයලා මෙතන දාගෙන
cfff87ebe6	අනිවාර්යෙන්ම එහෙම කෙනෙක්
cfff8e12db	මේ සිව් සර්ප රාජ කුලයන්
