dd006190d2	වෙනම චරිතයකුත් තියෙනවා නේද?
dd784a73b7	ඉතිං මේවාට එකම විසඳුම තමයි
dd7850aa91	කළුරිය කළොත්
dd7854ae44	අද රෝම ගිවිසුම අත්සන් කරලා මේ ප්‍රශ්ණය විසඳන්න බෑ
dd78c28852	යොදා ඇති ගුරු, දුඹුරු මිශ්‍ර වර්ණ මාලාව
dd79dfb4d4	අපි ඔවුන්ගේ ගෙවීම් දෙස
dd7a120fb1	තිබෙන්නේ ඒ වැව පමණි.
dd7a13df39	ඉදිරි අයවැයට පෙර
dd7a4f4700	උපරිම අයුරින් අපේ කණ්ඩායම සේවය කරනවා
dd7a76c0e2	ස්වවීර්යයෙන් දියුණුවේ
dd7abcfe77	ඒත් යන්තර මන්තර වලින්
dd7b4e5f26	ඔය කිව්වට මුන් වගේ කානු වලයි
dd7bec644d	එවන් උතුම් දහම් දෙසූ මිනිසුන් දෙදෙනෙකු
dd7bf43272	එතනින් එහාමෙහා ගමනේ යෙදුන
dd7c1f6871	මොනතරම් මහන්සි ගත්තත්
dd7c85a6da	විද්‍යාඥයෝ පෙන්වා දෙති.
dd7c9a3e4f	කෘතියෙන් ලැබෙන රසය
dd7cfe9310	එම අවස්ථාවට සහභාගි වෙමින්
dd7d0e900a	මේ වස් කාලයේ ඔබට ලබාගත හැකි
dd7d333b13	එහෙයින් මෝඩයෝ
dd7d9eebee	ඔබ කන බොන දේවල් රස විඳින දේවල්
dd7e0679bc	ඊට පිටතින් මිරිසවැටි චෛත්‍යය ඉදිකර තිබේ.
dd7e28d290	රැකියා අවස්ථාද ඒ මඟින් අහිමි වේ
dd7e3c688d	ගමේ වෙන කඩ නැතැයි
dd7e462dbc	බොහෝ දෙනාට තමන් ගේ සැපත සතුට හා
dd7e54869b	ටොරොන්ටෝ අසපුව නිකුත්කර ඇති නිවේදනයේ
dd7f18cb05	පාණාතිපාත කියන එකට.
dd7f67b804	එප්පාවල පිහිටි පොස්පේට් නිධියද
dd7fe61820	ආශ්‍රය කිරීම මට ලැජ්ජාවකි
dd80e8e1bb	අවසන ඔහු වේදේහ රජුගේ
dd80f9c4e6	එනම් ඔවුන්ද ජනප්‍රිය දේශපාලන මාවතට
dd81410d46	සේරුවිල හරහා අනුරාධපුරයට පිවිසිය හැකිය.
dd81a16ecf	උසස් පෙළ කලා විෂයන්ගෙන් ඉගෙන ගන්න
dd81fcd227	සසුන්ගතවූවන්ගෙන් වැඩිදෙනා
dd82190181	කෙතෙක් ශ්‍රාවකයා ඇද බැඳ තබා ගැනීමට සමත්ද?
dd82ac0007	බාගත්තු කොපියක් තියෙන නිසා
dd82f16e7a	පුංචි ගෑණු ළමයෙක් එක්ක.
dd82fa2bdc	සෑම නිවෙසකම තිබුණි.
dd848ed63c	එහෙම නොගිය අය ගමට ගහද්දි
dd859f579c	දැන් කාලෙ මද සරු භාවයට
dd85a72dca	සිංහලයෙන් නවකතා කියවන
dd85eaffe2	අපට විශාල ශක්තියක් වෙලා තිබෙනවා.
dd85ed92a2	සමානාත්මතාව තිබුනු නිදහස් අවකාශයක්.
dd866d7a74	කම්මුල ඉඹල එහෙම තියෙනවා.
dd86797a3b	ඉංග්‍රීසීන් විසින් හයිය ලබා දුන් ප්‍රභාකරන්ගේ සීයලා වපුල
dd86bb28bf	අපි කොහොම කතා කළත්
dd86bc2de4	කවුරුවත් පිළිගත්තේ නෑ.
dd871b5e4d	ඔබ “හෙල බසින් ලියූ ත්‍රිපිටකය
dd8740cf98	ඉන් අනතුරුව එම කළාපය තුළ
dd877ab884	සමරකෝන් ස්වතන්ත්‍ර රචකයෙකු විය.
dd87bc92c6	ඔන්න ගොළුබෙල්ලා නොපෙනී ගියාට පස්සේ
dd883df6c2	පොලවට තද වෙන්න පාගන්න ඕන.
dd893d5f8f	බුදුන් සතු වූ මහා පින් මහිමය
dd898a5b91	එසේ කළ නොහැකිවූ විට
dd89a5aaff	ජීවන අරගලයේ ස්වභාවය පිළිබඳ
dd89a84c0d	මේකෙ තියෙන සමහර කතා ගෙතිලා තියෙන්නේ වක්‍රෝත්තිය වටා.
dd8a5b5c22	කියන එවුන්ව මැරුවේ.
dd8b2c3972	ඔබට ඇතිවන නොයෙකුත්
dd8b71ebbc	මේ කරන සේවයට මගේ හදවතින්ම ස්තුතියි කරනවා
dd8ba47c85	අතිශය අධම දේවල්
dd8bd8efcc	විමසා බැලීම වැදගත්ය
dd8c7cf123	කට්ට මුරිප්පු හන්දියේ ගහක ගුරුතුමිය බැඳලා
dd8c994247	මුගලන් මහ තෙරුන් වහන්සේ
dd8d4784ca	වෙනම කාන්තාවක් යොදවා
dd8d681542	ඇත්ත වශයෙන්ම මේ කථාව තුළින් මිනිස් ලිංගිකත්වය පිළිබඳ දක්වන්නේ සංකීර්ණ අදහසක්.
dd8d86d7d2	මුදල් අය කිරීම ආදී සියලූ කටයුතු
dd8d922026	ප්‍රසන්න අප්ප්‍රසන්න වැඩ නොකරනු.
dd8dc63372	කුරුණෑගල යුගයේ ජනප්‍රිය වුණේ මෛත්‍රී වර්ණනාව
dd8de9abd9	මරු පහරක් වදිනවානම්
dd8e82f79d	පවත්වාගෙන යන නව ව්‍යාපාර කටයුතු සුවිශේෂී දියුණුවක් ලබයි.
dd8eb25425	මිදීමේ ආරක්‍ෂක මන්ත්‍ර ලෙස නොව
dd8eff3543	අපි ඔවුන්ට පින් දෙන්නෙමු.
dd8f3d9443	ඔය අතරේ නොයෙක්
dd914e41ec	එනම් පිරිත් ගායනයේ ඇති නාද මාලාව
dd9248b44b	සාමාන්‍ය දෛනික පුරුද්දක් විය.
dd92b71f47	හැබැයි ඒ ගහට මිනිස්සු නමක් පට බැඳලා තියෙනවා.
dd92fd246b	මොකොද කියන්නේ
dd93d0c290	කියන්නන් වාලේ කිව්වා.
dd93ec55c9	පුද්ගලයන්ගේ සිත්වල බලපවත්වන රාගය,
dd9473af13	ඇතැම් සංවිධායකවරු සිය නඩය මෙම සිද්ධස්ථාන අසලට කැඳවාගෙන විත්
dd95216a06	නාවික ගමනාගමනය ගුවන් සීමා ජනතාව වැනි කාරණාත්
dd958998bf	ඉතා ඉවසිල්ලෙන් සුන්බුන් පීරමින්
dd95f3bbf0	බලපෑම් ඇතිකර ඇති බවට සාධක හමුවේ.
dd962df259	මහා පුදුම දෙයක්
dd971dcde5	හොර කරල බොරු කරල ගන්න බැරි
dd979f28d9	කිසියම් උත්තේජනයකින්
dd97dd8c47	අනුනට දුන් මුදල් ආපසු ගැනීම
dd97f08411	අහිංසක ලෙඩ්ඩුන්ට උදව් කරන්න
dd982eb150	තුන්දාස් පන්සීයයි
dd98376c8e	අන්තිමට ඒගොල්ල දිහා බලාගෙන ඉඳලා
dd9871e013	නමුත් ඇතැම් ස්වාමීන් වහන්සේලා
dd987c707c	එම රසායන ද්‍රව්‍යය
dd98a69faf	එයින් ඔහුට තේරුම් යනවා
dd98cf9135	අමුතු ගති පැවතුම් තියෙන්නේ
dd99039689	c news
dd9943845c	ජනප්‍රියතාවය ඇතිවෙන බව.
dd99ba84ce	ජන කවියකු විසින්
dd99f9ca67	තොප දන්නෙහිය.
dd9b5ebf16	කිසිවෙකුට නොබැඳී ගිය ජීවිතයක්.
dd9c13bc9b	එවන් කළගුණ දත් අපුරු කලාකරුවකු
dd9c1e0cd2	දැන් දැන් ශ්‍රී ලංකාව ගැන
dd9c5c5400	නංගිත් ඒ පස්සෙන් දූවනවා.
dd9cb40ac6	හොරකම් කරන්නෙ නෑ.
dd9cbaf4c8	එය තව මාස කීපයකින් එළිදැක්විය හැකියැයි
dd9cd10573	තිබ්බේ ‍රැවුල හින්දාබොන්ඩ් ‍ෆිල්මෙකත්
dd9cde03a2	අපි ලේසියෙන් දාගෙන බැලුවට
dd9cf4927a	බෝධි රෝපනයේ දී
dd9d17117b	එය නමුත් එවැන්නෙකු නැති තැන
dd9d4170a5	ස්පර්ශ කරමින් ඒ පිළිබඳ රචනා කරපු නාට්‍ය
dd9d95cfb2	කියල සිහි කිරීම නෙවෙයි.
dd9ea1b1ee	එහෙම වෙන්නත්
dd9eb05374	අප අමතක නොකළ යුතුයි
dda000f16c	අග තනතුරු පතමි.
dda042d3ae	සිදුවන බව පෙන්නුම් කරයි.
dda1641726	නොදන්න දේවල් ගොඩක් දැනගත්තා
dda16f3061	යෝගීන් කතා කරන්නේ අවශ්‍යම දෙයට
dda2584a09	මෙම නැරඹුම් මධ්‍යස්ථානයේ ඉහළට ගොඩ වූ විට අවට පරිසරය සිත් සේ නැරඹිය හැක.
dda2ad2d27	තවමත් සංසාරේ විඳවනවා
dda3750042	එකමුතුකමක් තියෙන්න ඕනේ.
dda3c3f604	විරුද්ධ වන්නේ නැත
dda3c87fd0	lankatruth
dda3cbe0a0	නමුත් මා සිතන ආකාරයට
dda3d44fd6	වෘත්තිය සමිති සංඛ්‍යාව පහක් විය.
dda3da113a	එම ද්විත්ව ඝාතන වන්නේ
dda42daafe	බාහිර අභියෝගවලට මුහුණ දීම සඳහා වන ප්‍රතිපත්ති
dda54873b9	හැබැයි ඉන්න ටිකෙ ඉන්න
dda751f6ee	ජලය පිසගෙන එන සුළඟ
dda7fe53af	හිමීට පාත්වෙලා
dda8b881ac	කැමැත්ත අඩු වෙමින් තිබේ.
dda91f008a	කල් තියා අපේ සහෝලාට
dda97ef4ab	පොහොය දිනයේ
dda9f07faf	මෙවැනි නොයෙක් ආකාරයේ නිදසුන්
ddaa154e79	සම්මත කරගන්න
ddaa2068bd	ඒකෙන්ම පේනවා
ddaa5419cf	keybord stand with
ddaa55879e	දරුවකු පිළිසිඳ ගන්නා විට
ddaa80e199	මෝඩ රෝස මලුයි මෝඩ බඹරුයි ඉන්න කල්
ddaade136c	මොකද හේතුව
ddab4f3baa	මෙවන් ශ්‍රේෂ්ඨ උරුම
ddab6446d0	එමෙන්ම මහා සෑයෙහි ධාතු නිධානෝත්සවයේදී
ddad354aaa	හසිනි ගෝනගල වන ඇය
ddad8d77f1	බෙහෙතක් හොයාගන්න
ddae1e9466	අපි පුනරුද ව්‍යාපාර කියලා
ddae547aec	ඔබට පුදන්නට මා ලඟ සෙනෙහස නෑ.
ddaf2d80af	හැකියා දක්‌ෂතා නිසා
ddaf45b47e	පැමිණි විට සියල්ල විවෘත වෙනවා.
ddaf4c77f1	මොකෝ මේ බ්ලොග් අවකාශයේ
ddb00438c5	දවස පහන් කරලා
ddb062d0c8	සිංගප්පූරුවේ කැසිනෝ ආයතන දෙක පිහිටුවීමට
ddb0aad6f3	ඉතින් මේ ගමේ කෙල්ලෙක්
ddb0b96566	පිරිස වැඩි කර ගැන්මට
ddb0ea37f2	ඔය මහ ලොකු බෞද්ධයො ටික
ddb0ffa404	කියල තිබුණේ නෑ.
ddb192e115	එමෙන්ම මේ සංගායනාවට
ddb1a916e8	තව කෝටි කොච්චරක් දුරට යනවාද
ddb1ca9c76	නෙල්සන් මැන්ඩෙලාගේ පිළිරුවක්
ddb23ddc17	එයට හේතුව වන්නේ
ddb29a1489	පුරුදු වෙන කෙනාගේ ස්වභාවය තමයි
ddb2a1c310	සිංහල වෙදකමට
ddb2ad8c27	ඇතිවන්නෙත් සුවිසල් තිගැස්මක්.
ddb2cae47a	ඉවහල් කර ගනී
ddb317c2ac	ගෙවල් වලට හොරෙන්.
ddb326f42b	අපේ කුරුල්ලන් ලෙඩ වෙනවා.
ddb4b73d75	මෙයට ඉතා හොඳ නිදසුනක්
ddb4fdc8d3	අනික එදා ඒවායේ කතාවක් තිබුණා
ddb50af7e9	අතිශයින් වැදගත් ය.
ddb52f99d0	ඒකෙන්ම මේ චිත්‍රපටිය
ddb54eb62d	අනවතප්ත විලෙන් පැන්ගෙන එන්නැයි කීහ.
ddb55168fb	සදාකාලිකව කළ හැකි දෙයක් නොවේ.
ddb57c1d49	සුදුසුකම් ලබා ඇත.
ddb5923aa7	නමුත් ඒ විප්ලවවාදී අස්ථානයන්
ddb6ce7596	hand bags
ddb73d9994	ගුවන් හමුදා නිලධාරියකු වන්නටය.
ddb789dcbd	යක්කු වගෙ මුං ටික කමෙන්ට් දාලනෙ
ddb7aa6246	එහි අලංකාරය සිත් සේ විදගත්
ddb7d4deb9	මෙය වනාහි
ddb8162af2	කෙල්ලට විතරක් වැරැද්ද පටවන සමාජයක්ම
ddb81d955b	කරුණු තුනක් විතරයි.
ddb8da1107	ලංකාවෙ අපිට අනෙක් චිත්‍රපට තවම හොයාගන්න අමාරුයි.
ddb8e1eab5	udari photo
ddb944ccce	පළවෙනි කොටස කියවලද?
ddb94824f8	මේ කරුණු වලින් පැහැදිලි වෙයි.
ddb98c7ceb	වෙනස්වන ධර්මතාවයෙන් යුක්තය.
ddb995c0e2	පාවිච්චි කරලා
ddb9b7368b	උන් ටික කොටින්ටයි හම්බයෝන්ටයි කඩේ යන එක පුදුමයක් නෙවේ
ddb9e94ca4	එය බුදු වරයකුට පමණක් කළ හැකි දෙයක් බව ද සඳහන්ය
ddba1efbf7	අනතුර වළක්වා ගැනීම
ddba58f280	ඒ ප්‍රාන්ත රජවරුන්ට දිය යුතු බව කියමිනි
ddbaab67b4	cake games
ddbafd08a9	මොකද බෞද්ධයො විතරනේ
ddbb4d4b94	අහසට වෙඩි තබා ඇත
ddbbbcb30e	ඒ ගැන හරි අවබෝධයක් නොලැබෙන බව.
ddbd284b3c	නැවත නැවත විමර්ශනය කරයි.
ddbd42ead6	අප රටේ ප්‍රධානම ආහාරය වන
ddbe303f6f	රසවත් චාරිකා සටහනක්
ddbe681eb1	මරු වැඩේ සහෝ.
ddbeda7295	ඒත් මේ ගීතය සම්බන්ධයෙන්
ddbf8217c2	snakes
ddc013d688	වත්තල මුහුදු වෙරළට පැමිණ ඇත
ddc0e3b9b8	මොකද තාත්තා කියන චරිතයට මුදල් කියන සාධකය හින්දම
ddc0f053c9	සිව්වනක් පිරිස අමතා
ddc0f2e562	ඉහළ විදුලි පාවිච්චියකට යන්නේ
ddc220dd26	ඇතැම් අවස්ථාවල මෙම ඉරියව්ව යොදාගෙන තිබේ.
ddc25ed8eb	දවස පහන් කරලා
ddc2b56a30	එයා අලුත් කෙනෙක් නෙවේ.
ddc2e42995	භගු රහතන් වහන්සේ
ddc37e83bb	ලෝකයේ තොරතුරු අරගෙන
ddc3b78ec3	මම මේ කකුල් දෙකම
ddc3dd88b6	ඒ කාලෙ ඉඳලම ලකී
ddc4fadb4b	කාලය ඉක්මවා යන බැව
ddc5a50dfd	අපට පියවි ඇසින් නොදැක්ක හැකි
ddc6224677	හැබැයි මේ දෙන්නම කරන්නේ
ddc6618f49	අධ්‍යාපන කටයුතුවලට යහපත් වන අතර
ddc67a8d14	කෙල්ලෙක්‌ යවනවා හෝටලේට
ddc6981d50	එම චෝදනාව තරයේ බැහැර කළේය
ddc7bc607c	අඩේනවා මටනම් දැන්
ddc80b42fc	එම ද්වාරත්‍රයෙන් අකුසල් කළ අය
ddc8e208d4	දෙපාර්ශවයක ආරවුලක් විසඳීමේදී
ddc8f244b6	ඝාතනය කළ හින්දු අන්තවාදියා
ddc931f207	රතු පාට වෙලා
ddc93d93e1	රැකියාව කාර්යබහුල වුණත්
ddc947a3e0	බෙදා දැක්විය හැකිය.
ddcac9ae40	බිහිසුණු දර්ශන ගොඩාක් තියනවා
ddcae21633	එංගලන්තේ සුද්ද ගැන කියනව
ddcb890313	එම ගාථාවන්හි සරල තේරුමත්
ddcca94556	භාෂණව මතක් වෙලා
ddccc9d3be	මළුවට ඇතුලු වන භික්ෂූන්
ddcce8ec0a	අකුරු කරවීය.
ddccf51784	කැප කරනවා
ddcd0e5a94	අමාත්‍යවරයා මේ අදහස් පළ කළේ
ddcde7763f	අවංකවම මට නොසිතුණි.
ddce040226	අපේ ඒකායන පරමාර්ථය
ddce0477d6	අනික මේ වගේ කතා වලින්
ddce5e4cef	ඔබගේ තර්ක සියල්ලම
ddcf1902cb	නැග ඔන්නට හේතුවක් වෙයි.
ddcf671f12	අර කඩුපුල් මල් ගෙනාපු පුද්ගලයා
ddd020a487	අපි මේ නියෝජිතයන්ට අද දැනුම් දුන්නා
ddd0f51747	ලැබීම
ddd109df49	ප්‍රසාදය දිනාගත් අයෙක්.
ddd1541120	නිසි වයස පැමිණි කල
ddd17a0716	windows xp pro sp3 key
ddd1eacff2	මඩිහේ පඤ්ඤාසීහ මහානායක ස්වාමීන්ද්‍රයන් වහන්සේ
ddd26393d7	දානය පිළිබඳ සූත්‍ර පිටකය පුරාමත්
ddd351dfe0	මේ චිත්‍රපටය අරගෙනම බලන්න වෙනවා.
ddd4ea206b	මේ යක්ෂණියන් කටයුතු කරනවා.
ddd5247c35	එය සංසාරගත බැඳීමක්
ddd5823f65	ස්තූතියි'ක' යන්නෙ සින්දුව කල්යාණී කඩුල්ල ළග
ddd652b9d7	මගේ කිසිදු අදහසක් නැත.
ddd69df505	පෞරාණික බෞද්ධ මධ්‍යස්ථානයක් වන
ddd6bb1680	මුහුදු ගමන්වල යෙදුණ විදේශිකයන්ට
ddd6dbbe7d	එය අපූරු ලෙස නිෂ්පාදනය වන්නට ඉඩ තිබෙන රචනයකි
ddd7471788	ගුවන් යානය අනතුරට ලක්ව
ddd7871e5f	වැදුම් දෙන්නත් වැදුම් ලබන්නත්
ddd817ae09	ඉතා අලුත් නවකතාවක්
ddd820f54d	අද වෙනතුරු අපේ ආරක්ෂක අංශ
ddd980af86	බුදුදහමේ දැක්වෙන්නේ මෙසේය.
ddda7da091	අනතුර සිදුවී ඇති බව ‍පොලිසිය කියයි.
dddb9aae22	ඔන්න මේ අතරෙදි තමයි
dddcec2dd6	ඒකට සුදුසු බුද්ධිමට්ටමක්
dddd7a3567	ශ්‍රී හස්තය මගේ හිසමත තබා
dddd87c2e0	ඇතිවීමට ඉවහල් වූවා විය හැකි ය.
ddddda8ca2	සෙල්ලම් ප්ලාස්ටික් පිස්තෝලයක් තිබුනා
ddde3f6475	ඊට පස්සේ මොකද කළේ?
ddde60bbe6	මොකද මෙහි පිටසක්වල ජීවින් පරිණාමනය වීමට යොදාගත් වාහන
ddde723c26	පුරුෂයාට ඒකාන්තයෙන්ම එපා වේ.
dddee6ef1d	තීන්දු වෙනවා.
dddf0944e4	බහිරවයා යනු
dddf53d507	මේ පිස්සු කතාවට හේතුව
dddf725fcd	අහන්න දෙයක් නෑනේ.
dddf75fb89	සතුරන්ගේ සිවිල් වැසියන්
dddf920f26	අන්න ඒකට තමයි
dddfdf3798	අලුත් ජීවිතයක් පටන් ගන්න
dddfe68da2	අත්තම්මා ටෙලිනාට්‍යයට කලින්
dde0032302	එම පුවත ගල් ටැඹක ලියා
dde02f714a	එබැවින් දැනුම අතිනුත්,
dde04d6563	සිය දායක පිරිසගේ දෙලොව දියුණුව පිණිස
dde103aaaa	මගේ හිත දුකින් පිරෙනවා.
dde13607da	maththala airport
dde156d058	අනුනට සංග්‍රහ කළ බව
dde1f31ef2	සිංහලයාගේ විනෝද සැණකෙළිය
dde2c06b3e	මිෂනාරී දේවස්ථානය
dde3883aac	ලකුණු පටිපාටිය ලබාදීමට නියමිතව තිබිණි
dde404dc80	ඉස්සර මාසෙක එක ගානේ
dde41f914d	අනාගතයේ යම් දිනෙක මේ තිත් යාවෙන බව
dde50e5d3d	එදිනෙදා ජීවිතයට එක්කරගෙන
dde51e5e6c	අපිට ලැබිලයි තියෙන්නෙ.
dde5a45d08	දෙපාර්ශවයක ආරවුලක් විසඳීමේදී
dde5bfb28f	මෙහි ධර්ම චක්‍ර ප්‍රවර්තන මුද්‍රාව
dde5e3757d	එයට යටවෙනවා.
dde6d7a033	ඔබගේ මිතුරන් අතරේ ලිපිය
dde7e04ac2	එතකොට එයාලට වයස වගේ
dde8384bbd	වෙනස්වන ආකාරය හා විවිධ වන ආකාරය
dde897a7aa	දිනයට නැකතට හා ලග්නයට අදාල
dde8ddb9c2	ගෑනු සතුන් පසුපස යන්නට ටේපරයා පුරුදු වෙයි
dde9d804cd	තිබුනෙ කෙහෙල් කාල එන්න.
ddeaf036b4	අළු බවට පත් වුණා.
ddebc36f24	එක සෑරයක් පේරදෙනියෙ උප කුලපති වෙච්ච මහාචාර්ය ප්‍රනාන්දුට
ddec2410c8	එකපාරටම දීපිකා මගෙ අත ඇල්ලුවා
ddec4ac2c8	ඇදහිය නොහැක්කක් සේ දැනුනත්
ddec4c3b04	පිටුපසින් විෂ දලත්
dded39bee5	සිතා බැලිය යුතු ය.
ddeda34a84	සාමාන්‍යයෙන් ජගුවරයා ගේ දිග
ddedee4f8c	යුද පෙන්නන්න අරන් යනවා
ddee76c026	ඔහු නැවත තම සිත හා කතා කළේය
ddee80a476	මෙසේ කුසල් කර්මයකින්
ddeeea1f83	ඔන්න මමත් බානවා.
ddef343545	ඔයවගේ දේවල් ගැන කතා කරන්නයි
ddef5e95a1	ඔබ සියළුදෙනා වින්ද
ddf01f1b05	ඉස්සෙල්ල බුදුබව කියන එක
ddf13f8eb9	අපේ සංගීතයට තාම විශාරද දෙන්නේ
ddf17d6f1b	ඔය හංගපු තැන අදටත් පූජනීය ස්ථානයක් බව මතකයි.
ddf18e3475	බොහෝ දුරට පාසල් සිසු දරුවන්
ddf1a4bc79	ඇසීමෙන් ඉගෙනීමයි.
ddf1c52e86	කතන්දර ඔවුන්ගේ ජීවිතවලට කොයිතරම් නම් බලපාල තියෙනවද
ddf212fab6	හේතුවක් ලෙස පෙනෙන්නේ
ddf32678b7	සාමාන්‍ය පෙළ විභාගයෙන්
ddf329eb58	නම හෙළි නො කළ
ddf3e2317e	ඒක වහගන්න
ddf4777717	දරුවන්ගේ ගුණය
ddf4ead381	ගුරුත්වාකර්ෂණය කියා දෙයක් ඇතැයි සිතන්නේ
ddf549da26	ඒත් ෂැඩෝට නම්
ddf562b056	මොහු තුළ තිබුනේ නෑ
ddf6134ec3	මේකෙ වැඩ කෑලි කොයිතරං හිටියත්
ddf67400cf	බුද්ධිය සහ හැඟීම් අතර ද
ddf691e290	ස්ත්‍රී මධ්‍යස්ථානයේ චන්ද්‍රා දේවනාරායන
ddf80f9391	ලයිසන් තියෙන බාර් එකකට
ddf878be80	එදා තමයි දුකාට ඇතිවුනු මේ සිතුවිල්ලෙන්
ddf8eff132	ඉතින් එදා ඇය මංගලෝත්සවයට යන අතරේ
ddf9bc6778	බලාගන්ඩ තව ටිකක් කල් ඉන්ඩ වෙනවා.
ddfa43d5c2	මොවුහු විශ්වාස කළහ.
ddfa743f1e	ඔස්ට්‍රේලියාව පවසයි
ddfae4fd3f	ඒත් සිනමාව ගැන
ddfb42f136	මෙලෙස විශ්ව ශක්තියේ ක්‍ෂුද්‍ර අංශුවක් වන මිනිසා
ddfc85bf8e	ඇයගේ තොරතුරු
ddfcaf504a	මෙතැනට කැඳවන්න කියලා.
ddfcf64205	අර හැංගිලා තියෙන ප්‍රචණ්ඩත්වේ
ddfd3b5638	ඈතට විහිද යන සුවඳ වර්ග ගැන
ddfe41219c	නමුත් ඒ මහා අසමසම චරිතය අලලා
ddfe7f9cc7	ගොඩක් වැදගත් දේවල්
ddfe9a631a	අප නොදන්නා පමණින් නැතැයි කීම නිවැරදිද?
ddfe9e7484	එයින් ආහාරපාන, ඇඳුම් පැළඳුම් ආදී ද්‍රව්‍ය
ddfe9f63bd	එකට පිහිටා ඇති නිසා
