de000f37f0	ඒ හැම එකකටම වඩා
de0038b66e	වන සෙනසුනේ ඉඳීමට මං මනාපයි.
de0058ea21	එයා ඒ පාරේ ගිහිල්ලා
de008479ae	එම කථාව අනුව
de00a515fa	අපිට යමක් ලැබිල තියෙනව
de010db3a9	උපසිරැසි ගොණුව නියමිත පරිදි පිහිටුවා ගැනීම
de01768db3	ලෝක විනාශයෙන් බේරෙන්න කතරගමට එති
de01db69e0	දිවා කාලය විවේක සුවයෙන් ගත කළ ස්ථානය නිසා
de025adf0b	එය මහා සන්නිවේදන උපක්‍රමයක් ලෙසද ප්‍රයෝජනවත් වේ.
de03261261	ෆේස් බුක් ට්විටර් වැනි මාධ්‍ය වල ඇති විශාල බලය පිළිබඳවයි
de03c1a5b2	තමන්ටත් අනුන්ටත් දුක ලබාදෙන ක්‍රියාවකි.
de03e25c32	කාටූන් චිත්‍රපටියක් තමයි මේක
de03f6d525	ණයගන්නේ හුඟක් කාල ටිකක් සංවර්ධනය කරන්න.
de045625ef	හිතේ ගැඹුරටම වැදුණොත්
de04dd28b8	අප නිගමනය කළ යුත්තේ
de0519b2c2	මෙම චිත්‍රපටිය සමත් වෙලා තියෙනවා.
de051c00fb	රජරට වකුගඩු රෝගය
de05311868	පත්තර වල තිබුණා.
de05a32a45	එම පරම්පරාවේ සිට ෂරියා නීතියට
de05d72b43	සිංහල යෙදූ අයට අයිති නෑ කියල.
de05f62b32	බාහිරින් දකින දේ බලලා කිසිවක් තීරණය කරන්න එපා.
de0745f8e9	කරපු පව් කැපෙන්නැ‍.
de08600b58	පැය ක කාලයක් රඳවා තබා ගැනීමේ නියෝග මත
de088575be	සෑම කියන්නෙ තායි කට්ටියගෙ
de08bec657	එහෙත් මේ රට
de08d6bd86	ඇය මගේත් හිත් ගත්ත ගායිකාවක්
de09473db3	නරසිහ ගාථා සංගීතය සමඟ
de09adb331	namitha
de0a113fed	ඒ වෙත යොමු කරවීම හැකි ඉක්මනින්
de0a142e15	පෙර හැකියාව ගැන හිතන්න ඕනේ
de0a4646fd	හොරකං කරන එක
de0a7a7621	දෙස් විදෙස් සංචාරකයන්ට මහත් අඩුවකි.
de0ac2a497	මහාකාය ශක්තිය එහි ප්‍රතිඵලයකි.
de0b3ed7f7	බුද්ධ ප්‍රතිමාව නිර්මාණය කිරීම
de0b65b71b	වෙළෙඳ ව්‍යාපාරිකයන්ට වාසි
de0ba6acb7	sinhala love photo
de0bd83a8a	පුද්ගලික වශයෙන් පුද්ගලයා සංවර්ධනයට පැමිණේ.
de0bfbe6ed	යුද්ධයෙන් පසු රට හදල තියෙනවා.
de0c44d39d	අර වඳුරා මරා උගේ මස් කෑමටයි.
de0c468ee8	එයින් තිදෙනකු ඔවුන්ට එරෙහි චෝදනාවලින්
de0d76f321	ලොකු ගැස්සීමක් හට ගැනීමට ඉඩ තිබිණි.
de0dad0510	එක එකාට ඇඟිල්ල දික් කර කර ඉන්න
de0dbd697c	මහා සෑය නම් විය.
de0f3dd3f6	license keys for limbo
de0f502096	රජයට ශක්තිය දෙමින් සිටිනවා.
de0fca8175	බලන්නද බං යන්නෙ?
de10e2c547	මිනිහෙක් ඔය තනතුරට පත්කලේ කව්ද?
de11042251	බටහිර ගීත නේද?
de113b528d	එහි ඉදිරි ආරක්ෂක වළල්ලේ ඉන්නකොට
de1140cfd9	අරුන් හිතන්නෙ
de1208cfdf	රිටිගල කඳුවැටියේ තිබෙනවා
de12a15825	විටෙක අපට සාර්ථක විය නොහැකිය.
de1403ee42	මට කතා කරන්න දෙයක් තිබුණෙ නෑ.
de15610c1c	උගේ සම්මුතියේ සිටිමින් පමණි
de16a5862b	මෙහි භාව යනුවෙන් හැඳින්වෙන්නේ
de16b59b93	අපිත් එක්ක එකතු වෙලා ඉන්න
de16c5109f	එතකොට අපි යන්නේ
de16f209e6	වඩා පුළුල් සහ සංකීර්ණ එකක් වීම අවශ්‍යය.
de173d0029	මමත් හෙට උන්ට කතා කරනවා
de176dc3ae	අත්අඩංගුවට පත් කොටි නායකයා
de177e2ce5	එත් ස්කොලේනිසා පොඩ්ඩක් පරක්කු උනා
de17dbbe79	ඔවුන්ව සම්බන්ධ කරගන්න විදියකුත් පල කරන්න.
de1808ad2e	බුදුරජාණන් වහන්සේ දේශනාකළේ
de183b972f	සිත වර්තමානයේ තබාගන්න
de1903fdfb	mahamaya girls college colombo
de1958116b	එයට හේතුව වෘත්තීය පුවත්පත්
de196092c1	දන එක නවත්තනවා.
de199baf0e	queens hotel london
de1a03b322	හමුදාව මිනිස්සුන්ට ගහනවා
de1a695a7b	පාරට පැනලා ආවා
de1aafcc16	අපි ඒ සිතියම වෙනස් කරලා
de1abc341d	ඔයාලට තවත් අලුත් බයිස්කෝප් එකක්
de1b053f41	ක්‍රමවත් ව සමාජගත කිරීමත්
de1b36a6e5	අල්ල ගනින් කොන්ඩෙ
de1b75f116	ඉතිරි ජලය පහළට ඇදී යන්නේ
de1bcf3fa2	ලාමක අකුසල විතර්කයෝ පහව යත්.
de1be8499e	අල්ලපු ගමන් අනිත්
de1bec7232	අද මේ ග්‍රහ මාරුවක්‌ හින්දා
de1c528e11	එවැනි දෑ වඳුරන්ගේ ක්‍රෝධයටත් වෛරයටත් හේතු
de1c702ca3	ඊළඟ චිත්‍රපටයේ විස්තර සමගින්
de1d177bd9	මෙරට ඉදිවූ පළමු බෞද්ධ සංකේතය
de1d734485	ඊට යට නොවී තිබීමට
de1dcb5cde	මට ඉතා හොඳ ලබා දුන්නේ ඔහුය
de1ead2320	සමතුලිත මනෝභාවය විසින් පිරිනමන ලද
de1f177c65	ඉතින් ඔය මට නිකමට හිතිච්ච දේවල්
de1f61c373	අනුකම්පා විරහිත ප්‍රතිපත්තියක සිට ක්‍රියාත්මක වනවා නේද?
de2030ebcb	දක්වා තිබේ.
de21327664	අනුව ආරවුලක් බවට පත්වේ.
de2351b989	රජතුමා සුවපත් කර ඇත.
de23a03780	දකින්න පුළුවන්.
de23db3c41	වියට්නාම් යුද්ධයට වඩා වැඩිය
de2448329e	වෙන මොනව කරන්නද
de246114f3	chandy cartoon in sinhala
de2486c4bd	ඔය කියන විදිහේ අවතාරයක්
de24c2a78b	තුච්ඡකම උන් එක්ක දේශපාලනිකව
de251c581b	දේශනා කරපු
de26182322	දෛවයේ හාස්කමට අභියෝග කරමිනි
de26219bcd	මෙම ගැටුම නිසා නිවසකට යතුරු පැදියකට හා වෑන් රථයට හානි සිදුව ඇති අතර
de2638d28f	ඒ භාග්‍යවතුන් වහන්සේ මුණගැහුණු බොහෝ දෙනා
de263dd1bc	anniversary
de267652e6	හරකුන්ට පමණක් නොව
de268105fb	උන්ව මාකට් කරනකොට
de27018512	එම ජාවාරමුන් අතරේ
de2728c953	ඒ සතාගේ මුහුණුවර ගනී
de27afc393	රාජ්‍යකරණය
de27bae59d	ජොබක් සෙට් කරලා දෙන්න බැරිද ?
de27d13133	අපිටත් සල්ලි මුනට දමල ගහල ගිහින්
de27f4afc4	එම පොත අලෙවි කිරීමෙන් ලද
de283c4b50	හරියටම කිව්වොත්
de2846ba7f	අයිවන්ගෙන් වැඩක් ගත හැකිය
de289e81ea	මුකුත් තියන්න හම්බෙන එකක් නෑ.
de29c2f75d	අනුලා මෙහෙණියගේ සොහොන ලෙස
de2a61d06d	අනාගතය ගැන බලා‍පොරොත්තු
de2a9374e5	ඔබට ඉහළ ජනප්‍රියත්වයක් ලැබුණේ
de2a9dd8e8	මා නරඹා තිබෙනවා.
de2aa955e7	ගෙදරට හොරෙන් පනින්න
de2ac17e4f	සූදානම් කර ඇති සැප පහසුකම් වගෙයි.
de2b33dc95	අනිවාර්‍රයෙන්ම තුන්වෙනියෙක්ට තමයි.
de2b6c3b07	කාටවත් වෙලා නැ.
de2c694eff	මෙලෙසින් දසපාරමිතා සම්පූර්ණ කිරීමෙන්
de2c6d542d	කිසිම දෙයක් කියලා තිබුණෙ නැහැ.
de2c9ad600	ඔන්න මෙයාගෙ කාර්යාලයේ උදවිය
de2ca2ed62	බුදුදහම පිළිගෙන
de2d0592a0	ඉරිදා දවස් වල ක්ලාස් තහනම්
de2e270452	සංකල්පීය වශයෙන්
de2eda62d3	සාර්ථකත්වයක් ගෙනදිය හැකි අද දින
de2eeff87a	ආදරය කරන්න පටන් ගන්නවා
de2f26dc3f	එහිදී අධ්‍යාපන මුදල් සමාජ තත්වය වගේ දේවල්
de2f4535af	අලූත් ඇඳුම් ගමනට අවැසි කළමනා ගනිති
de2fe09f0d	එයාල දෙපිට කැපෙන කතා කියනකොට
de3042618d	නව වාරයක්ම පොළොවේ ගිලී යන්නට සැලැස්වූවේ
de3129b288	අතිශයින් ශෝක කළා වූ උපාසකයා,
de3282cc5b	තිරිසන් ආත්මභාව ලබා ඇත.
de3298c99c	එදාට ඔය ජාතිවාදී සංවිධාන ඔක්කොම
de32b4d751	පොඩ්ඩක් ලගින් යනවා
de32e77bd9	origami
de32eab196	එය මන්ත්‍රය නොදැන
de33169cd3	මෙහිදී ඇතිවන දෙබස
de331f3516	මොකද මම නිවේදිකාවක් විදිහට එකතුවෙලා
de33390ccc	ජීවිතයද වධ බන්ධනයට ලක්වන නිසාය.
de343a887d	බලාන උන්නෙ.
de343c6049	තිබුනා නම් එකත් නැතිවුනා
de34406100	මානසික ලක්‍ෂණ කිහිපයක් ඇත.
de3481c21e	එයා අලුත් කෙනෙක් නෙවේ.
de349d054a	මිනිස් ජීවිත සමග සෙල්ලම් කිරීමට පෙලඹුණේ ඇයි?
de34f89418	කැපවෙන්න ඇත්නම් මොන තරම් වාසනාවක්ද.
de355aac73	පේන මානෙකවත් නෑ
de358861f5	එමෙන්ම අපි දකුණු ආසියානු විරෝදින් නොවේ
de3593271d	බුදුදහම ප්‍රායෝගිකව පුහුණු කිරීමට
de35b1c826	මේ පිස්සු කෙලින්න එපා
de367dabca	දුප්පත් ලමයින්ට ඉගෙන ගන්න
de36bf455a	මේ ලෝකය නිර්මාණය කරගත්තා
de376e5785	එනම් අධ්‍යාපනය හරහා ඇති කරනු ලබන
de379225f6	බෝධියේ බලපෑමත් මැනැවින් හඳුනාගත හැකි ය.
de38fb9e12	වග උත්තරකාර පාර්ශවයට නියම කළේය
de390663fd	විතමෝහිය
de39482a17	මේක තමයි ඒ බයිස්කොප් එක හදන්න
de396008a9	ගොඩක් පහළින් කඳු දෙක සම්බන්ධ කරන්න ඕනෑ.
de39a6500c	එම සීමාව නම්
de3b5ef9b5	මිනිස් පුළුටක් නැති හිම වතේ
de3b9d48d5	ගමේ විහාරස්ථානයේ භාවනා වැඩසටහන් මෙහෙයවන අතර
de3ca09cfd	සෞරග්‍රහ මණ්ඩලයේ අනෙක් සියළුම වස්තූන්ගේ ස්කන්ධ
de3d08a354	මහාචාර්ය පරණවිතාන මහතා
de3d6c3cc8	meemessa
de3da4ccf9	චීත්ත ගවුම් එහෙම.
de3ddb99d1	six
de3e33e31f	බෞද්ධ කොමිෂන් වාර්තාවටය
de3e77e7bd	ප්‍රාර්ථනා කරන්නම්.
de3f04a20d	වැඩි දෙයක් වෙන්නෙ නෑ.
de3f535239	දෙලොව සැප සාදනු ඇත.
de408d8a3b	අනාගතයේදී මහාචාර්යවරියක ලෙස
de40b589fc	මේ වගේ ලොකු ඉතිහාසයක් තියෙන වැඩක්
de417d869a	තාත්තට තිබිච්ච ගෞරවය මම හිතන විදයට.
de41abfee4	උඩගුවීමේ ආදීනව ආදිය
de41bfa429	ඔබ දෙන මාලිගාවට වඩා
de42663acc	සැඩ පහරෙහි දිය සුළියකට හසු වී
de43ad8288	හාමුදුරුවන්ට පැමිණි ජනකාය නිසා
de43dbc655	හදන්න බැරි තරමට
de43dc0caa	පීඩන ගැටලූ මතු වුවත්
de4403d541	අනුමත නොකෙරේ.
de446b8385	කිසිම අවබෝධයක් නැති කෙනෙක්ට
de44a670b4	අපේ ඔෆිස් එකට ආවෙ.
de44e7884e	චි මිං පැරිසියේ පැවැති කම්කරු සමුළුවකදී මුණ ගැසුණා
de45a9d214	ගිනස් වාර්තා පොතේ නම සටහන් නොවුණද
de45e441c7	ඒක එහෙම නෙවෙයි නම්
de460625a8	ඒත් පස්සෙ එයාට
de4618c949	අල්ලිරාණි මාලිගයට ගිහින්
de465021be	මම ඒ ඉලක්කය වෙනුවෙන් වැඩකටයුතු කරනවා.
de4664cad2	එල ප්‍රසන්නයෝ.
de469fb4f6	තුළ අදත් පවති යි.
de47593b93	එයට සුදුසු විසැඳුම ඉදිරිපත් කිරීමටත්
de476de1be	මෙම චිත්‍ර සමූහයෙන්ම
de481316d5	යම් යම් මුදල් හා ද්‍රව්‍යමය ලාභයද
de48213465	පිළිබඳ ප්‍රශ්නයකි.
de489469e9	මම දන්නෙ නෑ.
de48caf63f	කැබිනට් අනුමැතිය ලබා දෙන ලදී
de49628403	පුද්ගලයා දැකීමෙන්
de49d8aced	all beautiful photos
de4a17af12	අනේ ඉතින්
de4ac8c7bf	එහි න්‍යාය ධර්ම
de4b53a43c	මිනිස් ලොව අපි ඉපදුනාට පස්සේ
de4be04b8d	නෙගෙටිව් රිසල්ට් එකක් එන්නෙ නෑනෙ
de4c18b8ed	ඒත් මං දැනගත්තා
de4c1c6edd	මෙවැනි කරුණු සිදු විය යුතුය.
de4c2e6ed0	මෝඩ රෝස මලුයි මෝඩ බඹරුයි ඉන්න කල්
de4c3139ee	සාකච්ඡාව අවසානයේදී
de4c63e7af	යම් රාජකාරීයක් සම්බන්ධව අසන්තෝෂයෙන් සිදු වූ
de4d4d8c4b	මේ වෙබ් අඩවියට.
de4da5332d	එම රුධිරය නමැති ඵලය
de4e4b3bb7	ඊට පස්සේ අර මනුස්සයා තර්ජනය කළා
de4eafd41c	අවශ්‍ය වන්නේ මවුපියන් අතර යි.
de4ec62b06	හිතවතුන් සමග සහයෝගයෙන් කටයුතු කිරීමට හැකිවේ
de4ed3f691	සාම්ප්‍රදායික ආගමක් නොවීය.
de4f194d50	මෙවැනි දේ ගියාම
de4f20074f	මොකද මෙහෙම කලින් බලන්න ලැබෙන්නේ
de4f596b72	වසල කම අදහන ධර්මයෙන්ම එලියට.
de4f6b5585	මීගස්මුල්ල යන මහත්වරුන්ගේ සහභාගිත්වයෙන් පැවැත්වීමට නියමිතය.
de5093ec49	එක් දුම්රිය එන්ජිමක් අනෙක් එන්ජිම තුළට කඩාගෙන ගොස් තිබීම
de50a7b438	එහෙත් චිත්‍රපටයක නම් ඊට වඩා දෙයක් ද සිදුවිය හැක
de50f09c34	බැහැ දකින්නට යං.
de53ab7b40	මන්ද
de54088995	පන්සිල් රකින මනුෂ්‍යා
de540c6af7	මන්තරයක් හොයල දෙන්න.
de544a47f7	පූජාවන් සිදු කරන්නේය
de5467bdaa	පැහැදිලි කරලා දුන්නා.
de5471bc48	එවිට බුද්ධොත්පාද කාලයකදී පමණක්
de54caba9a	iphone 5s
de554c4165	එතන ගන්න පුළුවන් ග්‍රෑම් ඉදල.
de5596c3c5	දෙක දෙකක් විදිහට ගන්න ඕනෙ
de569bd559	බුද්ධ ශාසනයේ
de5868babc	සහතික ඇත්තයි.
de589f27fe	ආරුක්කු හැඩයෙන් යුතු
de589f8ad1	මා ඔබට කියන්නම්
de58a46c7f	බොහෝ සුන්දර කදුමුදුන් වලට
de5959c604	එසේ කැමැතිවෙන්නේ.
de59e4d443	උදේ හවස දුම්රියෙන් රැකියාවට යන එන පිරිස්
de59f5df05	ඇත්ත ජීවිතය කිසියම් පිළිගත් සාමූහික විනයකට අනුව චලනය වෙයි.
de5a8ad5ca	එදා සිංහල රජදවස
de5aab4521	ප්‍රාදේශීය දේශපාලනයේ හැසිරීම
de5b26ebd5	කතන්දර එහෙම ගොඩක් කියවුනා.
de5c212269	බහින්න සූදානම් වෙනවා දැක්‌කා.
de5c25b8ab	හැබැයි මම සුද්ද කියන්නේ
de5c912ee3	අවාසනාවන්ත තත්ත්වය නම්
de5d3f3634	මේ පසුබිම තුළ බැහැර කළ නොහැකි අන්දමින්
de5d42922b	කුසිනාරාවැසි මල්ල රජදරුවන් වෙත දූතයෙකු පිටත් කරවූහ
de5d454c6d	අතහැර ගිය කුඩා පැළක් විය
de5e0cd4cd	එරට ලියාපදිංචි ඡන්දදායක ප්‍රමාණය
de5e3eea91	එයිට ගෝතම තෙරුන් සිදු වූ දෙය නො පවසා
de5e40dbd3	එම සැකකරු
de5f569db7	එහෙත් දැන් මා ඉදිරියේ සිටින
de6018e160	බුදුදහමෙහි අගැයීමට ලක් වන්නේ නැහැ.
de604cb368	පැරැණි පාරම්පරික කලා ශිල්ප
de6053698c	අද දින එකම ප්‍රාර්ථනය එයයි
de6116c51c	පරණ හමගිය කබායක්
de61f973c2	බුදුරජාණන් වහන්සේ ඉදිරියේ වැඳ වැටුණා.
de63649f2c	අපේ පැරණි හොඳ දේ
de64103384	බෝධි සත්වයන් වහන්සේගේ පරමාර්ථය
de64195aee	තාම කිව්වේ නැහැනේ
de64438459	නමුත් මා මුලාවේ වැටුනා යයි
de644d71d0	ඊට අයත් මිනිසුන්
de648368bb	අපි තුළ පැහැදීම
de64c73fcc	නීතියත් දෙකම ඇඹරිලා ගියේය
de64d6f5a6	මරණ පරීක්ෂණයේදී තමන් මහේස්ත්‍රාත්වරයා ඉදිරියේ
de64e7d1fb	අපේ පරම්පරාවේ රසඥතාවය
de65f2cf23	බොහෝ දේවල් අසා දැනගැනීමෙන් ලබන උගත්කම
de667e6f24	සීමිත ප්‍රමාණයක් පමණයි.
de671bd09b	ඔබ මතු බුදු වන දවසේ
de673eb8d5	අන්තිමට දාල තියන මල
de677d7bd7	ශ්‍රද්ධාව, බුද්ධිය ජනිතවී පවින් ඈත්වේ.
de6799672d	මේක බලාපොරොත්තු වෙන් ගොඩක් අය ඉන්නවා බලාගෙන
de687eb606	රැකියාවක් දෙන තුරු උපවාස කල යුතුය.
de69fd4f67	එතකොට රිය අනතුරක් වෙලා
de6a5c171c	ඊලඟට මම මොනවගේ චිත්‍රපටියක් දුන්නොත් හොඳ?
de6a9895dc	අනෙක් දරුවන්ට එරෙහිව ඔහු උසිගන්වනවාද?
de6b81e508	අරමුණ ජයගත් පසු
de6c9fd93b	හැබැයි කවුරු හරි කොල්ලෙක්
de6cdfc32c	කවුරුවත් නොදන්න තිබුනා.
de6d03292c	භික්‍ෂුණියක වස් නොවිසිය යුතු ය.
de6d26f9d4	අනෙක දැනුම ආයතන ගත වීම තුලින්
de6d86517e	ඉතිං මේ මනුස්සයා එයාව හම්බවෙලා යද්දී
de6d8d4d2d	අනෙකා සතු දේ ගැනීමෙන් සන්තෘෂ්ටිය සොයන්නෙකි.
de6e99d8d5	නොමැති බව උන්වහන්සේ පෙන්වා දෙති.
de6e9b5dd6	taxi log
de6ee96fb2	discounts
de6f1f6326	අනික ඒකෙ කියල තියෙනව
de6f35b8a2	හිරගෙදරට වඩා මම ඉස්පිරිතාලයේ ඉන්න කැමතියි
de6fd277ad	අයහපත් කාලගුණයෙන් පිරි
de6fdf91e5	වන වැදුනු රජෙක්ගෙ ලමයි ගැන කතාවක්
de705687df	සාමාන්‍ය ආර්ථික වර්ධනයක්
de707f4e30	අප එක් රැස් කර ගත යුතුයි.
de70d3c37d	හදවතින්ම ප්‍රාර්ථනා කරනවා දිනිඳු සහෝ
de710242fa	තිබ්බ නිසාද කොහෙද
de7117764f	මෙත්තා කාය කම්ම, මෙත්ත වචීකම්ම, මෙත්තා මනෝකම්ම වශයෙන්
de716ff1e7	මොකෝ මේ
de7197f2f9	බැංකුවේ කවුන්ටරයෙහි ලාච්චුවල තිබූ මුදල්
de71a837b5	සියලු විහාරවල පොදු ලක්ෂණයකි.
de7219e6df	තමා හැර අන් සියල්ල පිළිබඳ විමර්ශනය කිරීම.
de7270e8be	දන්දිය හැක්කේ.
de7284708f	වීදිවල ආහාර ගැනීම නොකළ යුතු ය.
de72a68181	නිරීක්ෂනය කළ යුතු කාරණයක්
de72cb76d8	මුස්ලිම් සිංහල ජාතීන් දෙගොල්ලම නැවත පදිංචි කළ යුතුයි.
de7321393d	නර්තනය නෙවෙයි ශරීරය.
de73289521	බෙල්ලන්විල කියූ පමණින්
de740a4e7f	පිරිපුන් ආර්යයන් වහන්සේ දෙනමක්.
de742a37da	කෙළවන්නේ නැතුව ඕන එකක්.
de74b368c6	මෙය ගිල දැමූ බවයි.
de74cf4873	ධර්මය පුරුදු කරනවා.
de75115f17	මුන්දෑ වගේ තට්ටේ ගාගන්න
de7613b253	ලැබෙන මාර්ග විවර වෙයි.
de7678e2a5	ඔව්හු තාම්‍රලිප්ති පටුනට පැමිණියහ.
de76a7403f	wall papers
de76b59d65	අගමැති වෙනවා කියන එක නොවෙයි.
de7707cd6a	බොහෝම ස්තූතියි සහෝදරී උපසිරසට
de78266a43	ඊට හේතුව එම සභාව තුළ නියෝජනය
de7899624a	කොහේදෝ සිට මවෙත බඩ ගෑවේය
de78c403b8	අධිවේගී මාර්ගවල වුණත්
de7a740922	සිංහළ කියවන්න අමාරුවක් තියෙනවා
de7ad23da7	චිත්‍රපට ලබා දීම විශිෂ්ටයි.
de7ad6dff2	නිවැරදි කිරීමට කැමැත්තෙමි
de7b63cb1d	අපේ ඊළඟ පරපුරට ලබාදිය යුතුයි.
de7b76accd	මේවායින් ආදිතම සහ වැදගත්ම එක් බෙදුමක් නම්
de7b990414	මේ කියන්නේ කාලයක් ගැනම නෙමේ
de7bbb5875	බොහොමයක් ප්‍රදේශවල විදුලි වැට නැහැ.
de7bd7efe7	මම ඔයාලට ඉතුරු කරනවා.
de7c3604a9	ඔහු වැඩිදුරටත් පැවැසීය
de7c8267b1	බුදුරජාණන් වහන්සේ තමයි
de7cd08e47	ආර්ථික ප්‍රගතිය වෙනුවෙන් කැප වූ
de7d357780	දකුණේ පාලකයෝ ඇමරිකාවේ සහාය ඇතිව
de7d408990	මට නොහැකි විය.
de7d548fde	එක් විලක හිතවත් මාළුවෙක් හා ඉබ්බෙක් විසූහ.
de7d55d795	අපිට තවත් අවුරුදුක් ඉන්න ඕනෑ නැහැ
de7d822d55	කොණ්ඩේ වවලා කරාබු දාලනේ හිටියේ
de7d85fae3	ගොඩක් උදවු කරන යාළුවො වෙනුවෙන්
de7ddffe56	ගත වූ සිව් වසර තුළ
de7de3e9a2	පුදුම වෙන්න දෙයක් නෙවෙයි
de7e316d02	peoples bank
de7e42c825	සිතිය හැකි සාක්‍ෂිය කුමක්ද?
de7e9b16a7	pongal
de7ea22b09	"අර ""පාදිලි"" ""පල්ලිය"" ""කුරුසය"" වගේ?"
de7ec25244	අසාම් අමීන් බීබීසී කොළඹ වාර්තාකරු
de7f174994	එම මිටියේ ඇන ගලවන පැත්තෙන්
de7f317b1f	sirasa superstar season 2
de7f42ab45	යැයි සිතමි
de7f562d11	ඔන්න මාත් නම් ටිකක් යෝජනා කරනවා.
de80974e2a	වයස අවුරුදු 20 සපිරුණු පසු
de80d11450	එය භික්‍ෂූන් වහන්සේ හෝ ලබන්නාගේ පැත්තට තිබිය යුතු වනවා.
de814db0fb	ස්තුතියි කියල කියන්නේ නැහැ.
de8160e678	අපේ මතකෙ තියෙන අතීතයක් ගැන කියවනවා
