fc003964f1	හැකිවන දවසකි.
fc013912c1	උපාසක චණ්ඩාල සූත්‍රයෙන්,
fc01dee3a7	විනාශ කරමින් සිටී
fc0219ef72	මේ මිනිස් ලෝකයේ උපදින මිනිසුන්ට
fc02360d6d	මගේ දෙවියන් වහන්සේ වුවත්,
fc02f1de2e	කොල්ලන්ට නම්
fc02fdc734	එයට අනුව රජයට තම ප්‍රමුඛතාවයන් පෙළගස්වා
fc03077f36	අපි මේ නියෝජිතයන්ට අද දැනුම් දුන්නා
fc03bb7097	ඉස්සර නිදාගන්න යනකොට හැමදාම
fc03f53e14	මුද්‍රණය වී ඇත.
fc043fb96b	සුයි කින්ග් නමැත්තෙකි.
fc054cff40	පැවති විවාදයේදීය.
fc06854c1d	මෙහිදී පිරිත් පැන් ස්වල්පයක් පානය කිරීම
fc068e2467	අනික සයිට් එකේ වැඩත් එක්ක
fc069910cb	ඒත් ඔහු
fc0708d157	ඔහු තුළ තියෙන ප්‍රඥාව නම් වූ සේඛ බලය.
fc07b0939b	එහි මූළික තේමාව
fc08223c92	ඒ අය
fc08a48790	එමෙන්ම ගැහැණිය යනු
fc08b3f19f	අළුත් චාරිකා සටහනක් ඉක්මනට
fc08c48b29	මාධ්‍යය වලට නිකුත් වේවිද?
fc08daee9c	සංගීතය බලන්න ගිහින් පොලිස් කූඩුවේ නවතී
fc08ddafc7	driver scanner 2012 serial torrent
fc08fca595	ගුරුවරු ශිෂ්‍යයින් ගොවීන් ගණකාධිකාරීන්
fc09165b2a	අනුරාධපුර ජය ශ්‍රී මහා බෝධීන් වහන්සේ යනු
fc092288f0	මේක මිනින්දෝරු දෙපාර්තුමේන්තුවේ දත්ත අනුව වෙල්ලන්කරේ විල.
fc0937466f	දෙමළ පමණක් යන සංකල්පය
fc095a0457	පරක්කු වෙනකොට ඒ ගෙදර අය බයවෙයි කියල.
fc095e5fe3	ඔහුගේ සියලූ ව්‍යර්ථයන්
fc09970364	මහාචාර්ය පට්ටම් දෙකක් තියෙන මිනිහට වඩා
fc099acfb6	එනම් රයිනෝසිරස්ගේ කකුල් සැදී ඇති ආකාරයටමය
fc0a045de0	මෛත්‍රී කරන්නේ
fc0a143793	භෞතික වශයෙන් ගත් කල,
fc0a40e06c	ඉතින් මේ වගේ සිනමා පටයක්
fc0ae447de	ඇතුළත් කර තිබෙන අතර
fc0c204038	අද වෙනතුරු අපේ ආරක්ෂක අංශ
fc0d15744a	dress
fc0d55bdb9	අපට අවශ්‍ය ඔබේ සිරුරේ කොටසක්
fc0d9ce1f9	විස්තර කරන්න තේරෙන්නෙ නැහැ.
fc0e020fdc	මගක් කර ගත හැකියි
fc0e596656	tea party ideas
fc0e677088	පිළිතුරු සැපයීමක් ලෙස
fc0e805c6c	තිබුන නිසා මම අරගෙන
fc0eaeeb63	හරකාගේ ජීවිතය සඳහා හැදෙන උගේ මාංශ පේශීන්
fc0efdf398	එහි තැන්පත් කර තිබේ.
fc0f636f2e	ඉන්න එකාට තව මොන කන්නද
fc11284e36	අපට මරණයට මුහුණ දීම
fc114e3a13	බුදුදහම තුළ පවතින ක්‍රමය වන්නේ
fc1195c449	අදායම් වාර්තා තබමින් තිරගත වුනු
fc121a537d	කෝන් තියල ඒ ඒ පන්දුව යවල
fc12242609	මදුරුවෝ නිසා නින්ද ගියේ නම් නැහැ.
fc12322a86	අප්පේ ඕන්න මං නම් මේක
fc125ee486	මෙයින් කවර භාවනා ක්‍රමයක් තෝරා ගත්තත්
fc12d6345c	එම නිසා ඔබේ කියා ඇති මෙම කාරණා
fc137e451c	එය ස්ත්‍රීන් මෙන්ම පුරුෂයන්ද තෘප්තිය
fc1399f0c2	අද මේ ගායකයාගේ නිර්මාණ අසන්නට නොලැබීම කනගාටුවක්
fc13fa08fc	මොනවා වෙයිද කියලා දෙසැම්බර් හයවෙනිදායින් පස්සේ
fc149363e5	මෙම දේවල් නුවනින් දැක තිබෙනවා
fc14d9ae15	ඒත් කණගාටුවට කාරණාව
fc14e26e60	දරු දැරියන්ට අඛණ්ඩව ලබාදීමට කටයුතු කළ යුතු වෙනවා.
fc152ab3a6	මේ කෑම උවදුර නිසා
fc15553e2d	මුලින් එහෙම ඒවා සිංහලට හැරෙව්වේ දෙතුන් දෙනෙක්.
fc15999aa3	ඒ හා බෙහෙවින් කතාබහට ලක්ව තිබෙන
fc160610d6	රැගෙන යනු ලබන්නකි.
fc164d45a8	තාමත් ටාසන් බාප්ප විදිහට එයා ඉන්නෙ
fc1691452b	හැම සර්වඥ භාෂිතයක්ම
fc16b6a0d7	ක්‍රිකට් ගහන්න
fc16deffff	එවැනි ගති ලක්‍ෂණවලින් යුක්ත බිරිඳ
fc17aab0fe	එහෙමනම් මෝඩයෝ
fc17f4de27	අපේ හොලමොට්ටයන්
fc17fe56cc	අප ජීවත් වූ කුඩා මහල් නිවාසය
fc1813e61b	ලොවපුරා සැරිසරා
fc186686c0	කළුතර මහමුදලි තනතුරු ලබන්නේ මෙකලය
fc1997cf34	සාධක හතරක් මත සිදු විය.
fc19dbc84a	කලාත්මක වූ සියුම් බවක් තිබුණා
fc1ac9438e	නැතැයි කියන්න බැහැ.
fc1ae4221e	තවත් පාර්ශ්වයක් එක්ක බැණ වදිමින් පාසලට ආවා.
fc1b813f9c	ගොනෝමේ දැනුත් මැරෙනවා
fc1bd2cdd9	එහි අධ්‍යාපනය හමාරවීමෙන් පසුව
fc1c54ed90	එනම් මගේ ගීත එකතුවක්
fc1c623ba6	දිව්ය ලෝක විය හෑක.
fc1cf52834	how much house can i afford
fc1d0d568f	පාඨකයාට මතක තියෙන් නෑනේ?
fc1e12f1e5	මෙයද මේ කෘතියෙහි වටිනාකම වැඩිකරන කාරණයකි.
fc1eff5278	එහි වෙසෙන ස්වාමින් වහන්සේලා පිරිසක්
fc1f1c9fe8	දැඩි අන්තවාදි ස්වරූපයෙන් නොබැලිය යුතුයි
fc1f269a92	උපන්දා සිට පොතේ තියනවා
fc1fb559e8	ඔය වගේ වංචාකාරයින්ගෙන්
fc1fd50efd	අපි නොදන්නවයැ!
fc208317af	නරබා දැන ගැනීම ඔබට බාරයි.
fc20b06640	සෑම කුඩා චරිතයකටම පවා
fc213df368	ඌට ඉලක්කම් වැඩි කිරීම
fc215760bc	එහෙම උනානම් කියලා අහන උදවියට
fc2200d4d5	නමුත් ගොවියා ඌ රකින්නට වෙහෙස නොවන්නේ
fc2207b049	හප්පොච්චියේ ජොලී අක්කගෙ හැටි මේකෙ.
fc22dea8b3	අහිංසක දෙමව්පියෝ
fc23745eaf	මෙම මූල ධර්ම හේතු සාධක කරගෙන
fc249d279f	මෙත්තා, කරුණා, මුදිතා, උපේක්ඛා යන
fc2506782c	බැබිලෝනියාවේ එල්ලෙන මල් උයන
fc253258ff	ඔහොම කියන්න එපැයි.
fc25a6e706	මට අම්මව දකින්න ලැබුනේ නෑ.
fc26198957	ගෙදර එන විට
fc266ddea9	වර්ණ හමුවීමට ඇවිල්ලා
fc26940867	එක්‌තරා ලාංකික සිංහල පුද්ගලයකු
fc26da6942	කැබිනට් මණ්ඩලයට පැමිණිලි කළේය.
fc26ff393f	එවැනි විනාශකාරී ක්‍රියා
fc273e7eb8	උඹ දඟලන
fc2758e66f	අපේ එකෙකුටත් උනා
fc278a60f8	පශ්චාත් නූතන ලක්ෂණ
fc27c7efa0	අපි තාම මේක
fc27fc2b4c	එනිසා මෙම වස් කාලයේ
fc283cb45f	මලයාලි අහිගුන්ඨිකයෝ ආව
fc2853362e	ඒකේ ඉතිං මස් වෑංජනේ තිබුන
fc28a85c62	පිරිත් පැන් ඉසින ලද
fc28dcd027	ඉතින් බුදුරජාණන් වහන්සේ දේශනා කරනවා
fc28f13699	තෙල් පොහොර නොයොදා කුරහන් වගා කරන නිසා
fc28f54379	මම ඇහුවෙ අදමයි
fc29ad4f9c	විකිණෙනවා කීවොත්?
fc2a3bf1ed	එතකොට කරන්න තියෙන්නේ
fc2a53d5d6	ladies shoes designs
fc2c01be03	තත්ත්වයන් දියුණුවෙමින් යනවා.
fc2c4c165e	පැතිර ගියේ ය
fc2c9d9372	සෑම නිවෙසකම තිබුණි.
fc2cde8840	එවන් අවස්ථාවල දී දරුවන්ට
fc2d13dd01	මේකට කියනවා පච්චත්තං වේදිතබ්බ විඤ්ඤූහි කියල.
fc2d227be3	ඉතාම අහින්සක පුද්ගලයන්.
fc2d3c45f9	ඌට එහෙම ඉන්න අයිතියක් තියෙනවා
fc2d987d5d	දිරිමත් කළ හේතුව මොකද්ද?
fc2daad37f	පියුමක් ලෙස සැලකිය හැකිය
fc2db06db7	අප බෞද්ධ දර්ශනය
fc2de5ad09	සිදු නොවීමය
fc2e12d74b	අනිත් එක සමාජ අසාධාරණය ගැන
fc2ed5d710	සාර්ථක වන වසරක්ද වනු ඇත.
fc2f055a40	ant
fc2f4ce98d	කවියට වඩා පාඨකයා ප්‍රිය කරන්නේ
fc2fdae7ff	මෙම සිද්ධිය නිසා, බුදුන් වහන්සේ කෙරෙහි
fc30931d3a	අපේ කෙසෙල් වලට
fc30e916ac	එයට අකැමැත්තක් දක්වති.
fc3156467b	දැන් දිග හුස්මක් හෙලනවා කියල.
fc3294a96f	අප්‍රසාදය පල කරන්න ඕනම දේකට
fc32e9386f	ඉතිහාසයක් මේ පොලොවේ පවතී
fc33341f2a	ධර්මාශෝක මහරජතුමා සහ
fc33e834d1	අපගේ විරෝධයක්, ඊර්ෂ්‍යාවක්, එරෙහිවීමක් නැත.
fc33fa92ee	මෙම තරුණයා බෝධි පූජාවක්‌ පැවැත්වීම
fc3450b50b	ඒවා තීරණය කරලා දුන්නා.
fc34a0943e	මෝහනයට පත් තැනැත්තා
fc34d53826	අපි වෙනුවෙන් සාධාරණයක් ඉටු කිරීම ගැන.
fc34d88f16	සකසා ඇති නිසා
fc35274691	ද්‍රෝණ බමුණා ධාතු මැනීමට යොදාගත් නැළිය
fc35d0ede9	විවිධ අවස්ථා ලැබෙනවා
fc365b3b30	එකල්හි මාරයාගෙන් සිදුවන බාධා මැඬලීම පිණිස
fc36763f68	උන්වහන්සේ පැවිදිවුන
fc3679a415	ඉතින් අපි සතියකට කොටස් තුනක් දෙන විදිහට
fc368ab5cf	පණිවුඩය ගිහින් තියනවා
fc375ddd54	නිවේදනය කරන නිවේදක නිවේදිකාවන්ට
fc37f2f62b	අපට අහන්නට ඇත්තේ
fc380871ed	තොරණ හතර නිර්මාණය කෙළේ
fc386d14d9	ඒක නිසා මිසක්
fc38e6366a	මුදල් ගනුදෙනුවලදී කල්පනාකාරි විය යුතු වසරකි.
fc39be60d3	භික්‍ෂුව හිරු නැඟෙන්නට පළමුව
fc3a7cc1bf	අතින් නොකෑපූ ගලෙන් පහරදීම වනාහි
fc3a88870e	මෙම භාවනා මධ්‍යස්ථානයේ කටයුතු කරගෙන යාම
fc3b17725e	කිසියම් විස්මිත බවක් පවතිනවාද?
fc3b501359	එය ඔහුගේ දියුණුවටද
fc3bf90e46	තමන් ළඟ තියාගෙනයි.
fc3c738e73	ලියැවී ඇති අපූරු ලිපි එකතුවකි
fc3d0b4339	මේ සැළසුම එක් විශ්ව විද්‍යාලයකට පමණක්
fc3ddc6101	ඒ පිටුව පුච්චලා දාන එක
fc3ea32b10	එහි ඉතිරිව තිබිණි.
fc3ee6ca79	ඔබේ දැනීමත් අප හා බෙදා ගත්තාට
fc3f008206	බ්ලොග් ලෝකෙත් ඉන්නෙ
fc3ff57d9b	බුදුසරණෙහි පළ වූවාට පසුව ය.
fc4006bacc	බොදු සිත සඳහම් සිසිලෙන් පුබුදු කරවූ
fc411c67ac	හොඳයි කියල හිතන්න පුළුවන්ද?
fc4121a2e0	නඩේ ගුරාට අවමානයක් නොවෙන්න
fc412231bf	ඔහු ශාසනයේ උණුසුමවත් නොලැබුණ පුද්ගලයකු බව
fc41246ad1	මේ ඒක නෙමෙයි
fc41494492	විශේෂ ආකෘතියකින් නිමැවී තිබෙයි.
fc4163182f	ඉතාම ආසාවෙන් ශ්‍රවණය කොට අතිමහත් වින්දනයක් ලැබූවෙමි
fc42789cde	තානාපති ඇතුළු සියලු විදේශිකයන්
fc4281f7c5	දෙවියන්ගේ ආශිර්වාදය ලැබූ අයුරුද දැක්වේ.
fc42ce0273	පරණ වුණාට කමක් නෑ
fc42e8c4d2	අනිවාර්ය අංගයක් ලෙසින්
fc4300c22c	එබඳු ස්වභාවයක් තියාගෙන,
fc432a5cc7	මෙයා මොනවද කලේ කියලා.
fc4357df68	මෙතැන සිදුහත් කුමරු උපන් තැන බව ඔප්පු කිරීමට මහන්සි විය යුතු නැත.
fc439f27b2	එහෙ දැන් විස්තර නම් වැඩිය දන්නේ නැහැ
fc43df5e9e	movies
fc4559dc19	ඇය ෂියාම්ගේ ඥතීන්ටද ෂියාම් නිවසට ආවේ නැති පණිවුඩය දී
fc463186d6	සමාගම වෙබ් අඩවිය තුලින්
fc469a886c	ඌත් එක්ක චැට් කරන්න කියල
fc476358bb	කිසිදු මුදලක් අය නොකරයි
fc4797a2e9	ඒකනම් ඉතින් සබ්ජෙක්ටිව්.
fc47a262b2	ඉන්දියානු උත්තර භාරතීය සංගීතය
fc481aef2b	බෙර වාදනයේ ඉතිහාසය පිළිබඳව සාක්කි සපයයි
fc483ec9e8	එතකොට අපේ විශ්ව විද්‍යාල ලංකාවේ තව ඇති කරන්නලු
fc48e3261f	වසර දහස් ගණනක් ජීවත් වූ යෝගීන් සිටි බවය
fc4aee57dc	buddha
fc4b3ecbee	ඒක කියවන්න ලැබීමත්
fc4bc96c4a	එක්කො වස්ගමුව නැත්නම් මින්නේරිය
fc4bede516	කෙළින්ම එන්න බස් තිබුණේ නැහැ
fc4bf64846	එම ස්ථාන වලදී පමණක්
fc4cd38a13	house plan software download free
fc4e0f4d32	එන්ඩ කලින් මං කෝල් එකක් දීලා එන්නම්
fc4eb2bc3b	හැමදේටම බටහිරට
fc4f413696	එයාට ඕන වුණේ
fc4f735322	තෝ අහුවුනොත් තොගේ බෝල සම්බෝල කරනව
fc4f97c730	ගොඩක් වැදගත් දේවල්
fc4fd5cb56	ඔවුහු දැඩිව විශ්වාස කරති
fc4fe2b634	ව්‍යාප්ත වීම තුළ
fc4ffd7cf3	මහාදානයක් දීම
fc504ef8f1	පදනම් කරගෙන
fc51033beb	ගෙදර ඉන්නකම්
fc5123134d	දේශපාලන දුර දැක්මක් තිබුන.
fc519e5920	අත්තේ කොළ හට නොගන්නා බව
fc51be4e77	දුවගෙ කතාව ඇහුවට පස්සෙ
fc5211d495	එදා ඒ බැට කාපු අපේ දරුවන්ට.
fc5214bf7b	අග බිසෝ කුස පිළිසිඳ ගත්තේය.
fc52542f5f	ඒවා කොච්චර ගැලුවත්
fc52d2e5e3	තෙවැනි ලංකා ගමනේදී කැලණියට වැඩි බුදුරජාණන් වහන්සේගේ
fc536993c2	බෞද්ධ සම්ප්‍රදාය තුළ
fc53acd310	tinkerbell with her sister
fc54641c2a	මොකද මේ ක්‍ෂේත්‍රය
fc547e0542	මෙසේ කීවේ ය.
fc54abbd4e	t.m. dilshan
fc54c96ad6	එබැවින් චිත්‍රපටය තුළ
fc5502984c	ඇත්තටම ඔබ ඉතාමත් චතුර ලෙස මේ කතාව ගෙනියනවා.
fc556c5c0b	එයින් සත් ද්‍රෝණයක් ධාතූන් වහන්සේලා
fc567ced0e	ඒ ගැඹුරු හඬ
fc56b13be7	විශාල අභියෝගයකට මුහුණ දීමට සිදුවනු ඇත
fc56da3bf2	මුග්ධත්වයෙන් පසු වීම.
fc56de729d	ඊට වඩා තේරුමක් ඇති සිරිත් විරිත්
fc57354ccc	මෙය සන්ඛාර දුක්ඛයයි
fc58bbaa89	ආදරය මේරූ පසු
fc58eb3036	එහි දිළිඳුකම දුරු කිරීම
fc58f43918	එක දවසකටයි.
fc5994518b	ඔය පොතේ.
fc59d2b4d6	ඔන්න මම එලියේ දාගන යනවා!  කියලා.
fc5a3bc48c	අද දැනෙන වෙනසට හේතුව
fc5a7d2ecd	ඒ නිසා ප්‍රාණ ඝාත කිසිවත් පිළිගන්නේ නෑ.
fc5ac10ca2	සැනසීමට හේතු වේ.
fc5ad22f61	මගේ එක උරහිස්සක් නං
fc5b0ef506	සිල්වත් හාමුදුරු නමක් උපැවිදිකර
fc5be6f32a	අදාළ දායකත්වය ලබාදෙනවා නම්
fc5c224516	අපි විනිශ්චය කරන අවස්ථාවේදී
fc5c5ead5e	කොච්චර නම් වැහිලා ඇද්ද?
fc5c8d8d96	සටන් නිර්මාතෘවරයෙක් නළුවෙක්
fc5ca7b71f	ජයග්‍රහණය කොට තිබෙන අතර
fc5d1eac20	බැතිබව වඩවන දර්ශනයක්
fc5db27adb	විග්‍රහයකට නොගොස්
fc5ddaaa96	හැබැයි උන්ට පෙන්නුවම
fc5deb8b2d	කොහේ හරි අම්මලා තාත්තලා දෙන්නෙක් එකතුවෙලා.
fc5e20dcbd	ඒව බෞද්ධ රටවල්.
fc5e339ee2	අද විශාල ජනතාවක් මෙතැනට ඇවිල්ලා ඉන්නවා.
fc5e3e97df	දේවහරහා කියන කුමාරිකාවක්.
fc5e49167c	එතුමාගේ හදවතේ
fc5e5c52ba	එය අහම්බයක් නොවන බව
fc5e9c0459	ඒත් පස් පව් කියන්නේ
fc5ea9534b	පවතින යථාර්ථය හෝ ඉතිහාසගත
fc5ec0ec5b	රූප රාමු බලමින් කරන්න බැහැ
fc5f59fdeb	තවත් ඕනේ
fc5f728ed9	පසුකලෙක ධර්ම කථික භික්ෂුණීන් අතර අගතනතුර ලැබූ
fc605b800b	ඒත් දැන් එතුමා
fc607a0d7f	නුඹලා උපේක්ෂාවෙන් දරා ගත්තා.
fc6080edee	අලහබාද් සෙල් ලිපිය ලියල තියෙන්නේ
fc60d20ad6	ජලාශවල වෙසෙන කිරි ඉබ්බාය
fc60e6a2b7	අවංකවම මම කනගා‍ටු වෙනවා
fc612c9532	අඬල කඳුළු පිහ දාගෙන
fc61a7421b	මේ ශරීරයට ලැබුණට පස්සේ
fc61bc17f9	විශ්ව ගැමුණු ප්‍රියංකර
fc6203f92b	අකුණු මඟින් සිදුවන අනතුරු අවම කර ගැනීමට
fc620cf3f1	මේ සාංඝික දාන හතෙන් පළමුවෙන් උගන්වපු දානය
fc62130bb1	සමගියෙන් ජිවත්විය යුතු බවයි
fc621a7d75	ආනුකම්පිත පරිකල්පනය වර්ධනය කිරීම බව
fc62788985	විමස විමසා බලන්න ඕන.
fc631f8a7c	බෞද්ධ පොත, පත ද පරිශීලනය කිරීමට
fc6322067e	පෙර සංසාරෙ
fc652ad753	එම රටවල ඉන්න අපගේ අය තමයි
fc6567032b	මාලදිවයින් යන්නද හදන්නේ?
fc656ded70	මුත්‍රා ආසාදන, මල බද්ධය, අර්ශස් වැනි රෝග
fc65821150	නමුත් පිටපත් නම්
fc65a96a95	ඕනෑ එපාකම් ඉටුකර ගැනීම සඳහා වූ පිහිටකි.
fc65ebff5f	මේ නිසා ම ලෝකෝත්තර මාර්ගයට පරිබාහිර ව
fc6613da34	බාහිර තුවාල කිසිවක්‌ දක්‌නට නැතැයිද පොලිසිය පවසයි
fc6699d6ce	ඔන්න කුරහන් පිටි ටිකක් එහෙම අරගෙන
fc66b19975	යමක් පිළිබඳව විශ්වාසය තබන්න.
fc66c82ebe	දැන් පැහැදිලිව පේනවා.
fc67153a16	ඒ වෙනුවට කොටි ගණන් වාහන ගෙන්වීමට
fc6732a0a2	බුදුරජාණන් වහන්සේ පෙරවරු කාලයේ දී
fc68706eb4	එවන් පුද්ගලයාටයි අකුසල් විදගෙන
fc68d97115	සාහසිකයා මන්නා පිහියක්‌ රැගෙන
fc69902054	මන්දාකිණි ගැන එසේ කීමට හැකි ද
fc69a5dc97	අළුත උපන් බබෙක් වගේ පරිස්සමට.
fc6a36543f	බෝධීන්වහන්සේ ලක්දිවට එවන විට
fc6a4e1077	එහෙම වුනා කියල
fc6ab94d21	එම ලක්‍ෂණ අට මුල් කරගෙන
fc6b565366	madura dictionary free download for windows 8
fc6b93ea31	ඔබ දැනුවත්ව හෝ නොදැනුවත්ව
fc6bcad203	සේවයේ යෙදී සිටි පොලිස් නිලධාරීන්
fc6ca4e001	baby
fc6d2bbead	සකසා තිබීම විශේෂත්වයකි.
fc6dfe1499	ලන්කාවෙ බොහෝම හාමුදුරුවරු
fc6e1e1b52	හරියට ජලය යැයි සිතා
fc6e3204b5	මල් ටික අහසේ යනවා පාවෙලා.
fc6e7c3a53	මුලු ආයතනයටම පහර ගහන එක
fc6f975646	පක්ෂ බේදයකින් තොරව
fc7012a79d	පෙර කල ලෙස කරගෙන යාමේ අවශ්‍යතාවයක්
fc703e7f5f	මේ යුධ මෙහෙයුම්
fc705d1f41	නමුත් කථාව අනුව නොගැළපෙනවා කියලා හිතුණ නිසා
fc70ba0207	එසේ වන්නට පිළිවන.
fc7165e5f2	දොළුකන්දේ ඇති බෙහෙත් වන ඔසුවලින්
fc71740e7f	එතකොට මේ විදිහටයි අපි තේරුම් ගන්න ඕන
fc7193342d	දැන ගත්තාම සුභ පැතුමට ස්තූතියි රිෂ්.
fc71a04ca2	සහතික ඇත්ත.
fc7260e6a9	දෙවි, මිනිස් ලෝකවල ඉපදීම
fc726bde13	වැලි ගොඩ දමමින් සිටි පුද්ගලයෙක්
fc728e0139	ඉදිරියට කරගෙන යාමට අදහසක් තියෙනවාද?
fc72d96d5a	සිනමා පටයේ වියදම පියවන්නටත්
fc737dbd23	ධර්මයෙහි අදත් ජීවමානව පවතින සූත්‍ර ධර්ම
fc7380f1c5	මේ අතර දළදා වහන්සේ
fc73c18000	දේවී නම් වූ කුමරියක සමග
fc73d494c8	ආකර්ශනීය කැටයමින් අලංකාරවත් වී තිබේ.
fc7400586e	පාත්‍ර පරිහරණය ඊට හාත්පසින්ම වෙනස්ය.
fc742c2190	ලැබෙන්න කියලා පතනවා
fc744c0f6c	ඔබතුමාගේ මහන්සියට
fc74522424	ලබා ඇත්නම් ගැටලුවක් ඇති නොවේ.
fc7486ca14	දෙයියනේ මොනව නොකෑවත්
fc748d4312	එමෙන්ම ඒ හා සමානවම
fc74b1a376	අපි නම් අපේ ගේ හදද්දිවත්
fc750b45cf	ඉතින් මෙලෙසම තවත් චිරාත් කාලයක්
fc750ca37d	'පට්ට ෂුවර්' දේවල්
fc75207956	විපාක දීමට සුදුසු පරිසරය ඇති තැනකට යැවෙනවා
fc75c0d10f	ඇයගේඒ ලෙන්ගතු බව කියන්න
fc76524448	ස්වර්ණවාහිනියෙ ප්‍රචාරය වන
fc768b3155	මුහුණපාන්නට වන ගැටළු ය.
fc769d1063	suriya
fc76a6283e	සෙල්ලම් මණ්ඩපයක් වෙයි.
fc7762aa37	සැම වසරකදීම ජපානයට අඩු ගණනින්
fc7786f0a3	දුරු කර ගන්න.
fc779aa11c	වෘත්තියට අදාළ දෙයකුත් නොවෙයි.
fc77cf9626	කියනවා වෙනුවට
fc77d35732	පාන් ගෙඩියේ පෙනුමේ වෙනස
fc78c7d023	එම පින්කම් සංගමය සංවිධානය කර ඇත.
fc78da3b6a	අනික තමුන්ගෙ මතවාදය ටක්කෙටම
fc78eed5d9	කොතරම් අවුලක් වේද කියා
fc7911c34b	සිංහ නව ආදායම් මාර්ග උදාකර ගැනීමට
fc7929b4c0	මේ ගස හෙළීමට නොහැකි විය.
fc795867b4	shooting games gun games
fc799e0760	අර සිද්ධි ඇසූ සැණෙන් සිරිකොතට පැමිණ
fc79a518cf	අපි විවාහ වුණා
fc79ef3559	නොමිලේ දෙන්නෙ නැහැනෙ.
fc7a2fcff6	උදාහරණයක් විදිහට කළු ජාතික වහල් මිනිසුන්ගේ ජීවිත
fc7a3a8307	අයිස් ක්‍රීම් කන්න කියලා
fc7a6a94ad	එය ශක්‍රයා දැක ඔහුගේ ජටාවෙන්
fc7a770b61	මා හිතුවා
fc7abee732	හොයාගත්තෙත් උඹ වගේ එකෙක් වෙන්න ඇති
fc7aee8c77	මේකේ එක බැලුවොත්
fc7affb8bf	බොහෝ දුරට සිදුවීම
fc7b4fc41c	ඇත්තෙන්ම ප්‍රශංසනීයයි.
fc7c4c7444	එල කොල්ලෙක්නෙ
fc7cace7ce	තිරිඟු කුඹුරුයාය ළඟටවත් පියාඹන්න බැහැ.
fc7cccf2f3	වෙළුම නමින් වාරමට
fc7d05304b	ඝාතනයට සම්බන්ධ
fc7d165d97	පැහැදිලිව විග්‍රහ කර දුන් සේක
fc7d539827	ඔය ඔක්කොම කතන්දරකාරය
fc7db12877	බෝසත්හු නොසැලී සිටියහ.
fc7eccdb83	world trade center sri lanka
fc7fa7699e	නොසෙල්වී සිටියහ.
fc7fb90470	තේරීම් කාරක සභාවක් පත්කිරීමට
fc7fed0d73	ඒ වගේ ශ්‍රේෂ්ඨ අයගේ පහළවීම
fc7ff2fa03	කියන ස්ථානයට පත් වෙනවා.
fc80936a78	අපි දන්නවා
fc80cac996	ඉන්න අයට දකිනවා මිස අහන්න වෙන්නේ නැහැ
fc80e0b4cf	අනෙක් අතට මහෞෂධ ඉතා වැදගත්
fc81069416	නොහැකි වන බව පෙන්නුම් කරයි.
fc812afc20	ඒකත් මුහුද පැත්තටම සීමා වෙච්චි
fc8163edba	එහි සුන්දරත්වය කියා නිමකළ නොහැක
fc817072aa	එම ගමන සඳහා
